"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNT",-0.340547681975255,-0.375753544813342,-0.424437663285079
"BACH2",0.342552352297758,0.412441455167039,-0.388629759648033
"CEBPA",0.391876430026243,0.465806207188022,0.471724261259175
"CEBPD",-0.552178683970458,-0.800373907421163,-0.66951866596898
"FOXH1",0.448743687369439,0.794793530457072,0.453283704501789
"FOXO3",-0.43261324843236,-0.724001414243375,-0.434239216381617
"FOXP1",0.51396464762546,-0.385776957339901,0.398675709507179
"HSF2",0.655570737617043,0.640750479637401,0.440826685607438
"IRF2",0.417080615367939,0.445940836666556,0.611208552776689
"IRF3",-0.573042901207116,-0.410615352237027,0.457081264765278
"JUNB",-0.316916407173882,0.783965130151555,-0.388863498713292
"KLF4",0.586252686616877,0.740695809036135,0.582075953987847
"KLF9",-0.566023292745382,-0.635756218146969,0.319585855750954
"PBX3",0.428613361895151,0.700277462226164,0.418556841330141
"RARG",-0.469602245457063,-0.641786041805307,-0.338051118988557
"RUNX2",0.337773234227684,0.634547147306679,0.416223723879139
"RXRA",-0.478933915901181,-0.435887302109862,-0.440046237036122
"STAT1",-0.460913121452085,-0.652269302878245,-0.429840913387995
"STAT5B",-0.321350317152884,0.376866542991571,-0.370344469778616
"TCF4",-0.399719810852651,0.729198873025821,0.349680286418906
"TFDP1",0.521335256483748,0.792491831732313,0.344657445252835
"USF1",-0.47594069210978,0.571441566408749,0.43774058087042
"VEZF1",-0.481567750439814,-0.611419062499502,-0.553890617702161
"YY1",0.650198407571761,0.811670391072665,0.462026805088504
