"","P1_2020Oct","P3_2023Jan"
"ATF2",-0.372152835404668,-0.394750263556212
"BCL6",0.336976285990602,0.467187650515873
"CEBPA",0.330474475900345,0.442581657551047
"CEBPB",0.375120782669685,0.482560570836464
"CLOCK",0.566549494480572,0.535902682005714
"E2F4",0.384602589051309,0.332815860809519
"E2F8",0.613685674243587,-0.402882357822049
"ESR2",0.550876431945929,-0.413729033698116
"ETV5",0.328586276867677,-0.371985059837807
"ETV7",0.607872213368409,0.39048615682083
"GATA1",-0.390589789112902,0.681837657326458
"GATA6",0.45318409232759,0.480242108431161
"HNF4A",-0.628322520512052,-0.462859465673812
"HSF1",-0.660058489885531,0.428991273652624
"IKZF1",-0.322019168828164,0.498038346240712
"IRF1",-0.518640233639753,-0.330421669732685
"IRF3",-0.456966709245236,0.319103145980162
"IRF4",0.617177948494003,0.418680523759693
"KLF1",-0.50799006038036,-0.368757853374144
"KLF4",0.610051921103115,-0.356373302937775
"MAX",-0.408567325106723,-0.488181968376961
"MXI1",-0.593877074922697,-0.397488146296142
"MZF1",0.604355841065292,0.433202952846178
"NFE2",0.475353912134988,0.444935071650903
"NFYA",-0.313497009093649,-0.318357509829713
"NFYB",-0.745390860537457,-0.326198339974281
"PAX5",0.365473399345303,0.318264305310907
"PPARG",-0.400953117809489,0.411626106742552
"RARA",0.42659849870172,-0.557147487011093
"RXRG",0.32207824792511,0.322074040017109
"SP1",-0.555100976055865,-0.581986491272935
"SP2",-0.46059230014205,0.338076090839641
"SPDEF",-0.445569885030356,-0.308262295386521
"SPIB",-0.591173040202592,0.362396644965624
"SRF",-0.582780310331782,-0.361802466158234
"TCF4",0.305430768969121,-0.35856360912972
"TEAD4",-0.34682189523237,-0.470106117010991
"TP63",0.364984830760687,0.309217641704284
"USF2",0.437233902186876,-0.326116786020326
"ZFX",-0.39199835916115,-0.431618476026473
"ZNF76",0.3186011321272,0.459335169806455
