"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"E2F6",0.302565064519946,0.589905510885748,0.523959340498499
"ELK4",-0.455652292937604,-0.339670384635729,0.542539393345894
"ESRRA",-0.446399569379536,0.42900468967559,-0.327437091553458
"GMEB1",-0.373160012776846,-0.326644459146868,0.466421844696596
"HNF4G",0.618853325920551,-0.353600833434934,0.367477925607889
"KLF1",0.373006738654734,-0.542228372609749,-0.346614712441131
"KLF9",0.398411467962122,0.380262371537798,0.472344099650355
"MAFK",-0.686237486234419,0.507351953443339,-0.377453775954429
"MXI1",0.691064604696915,-0.38332906277387,0.346761490503086
"MYC",-0.38529888505727,0.301032878921929,-0.381980537248829
"PAX5",-0.583326387639556,0.494510163698028,-0.437129940047216
"STAT5B",-0.495147226226006,-0.328237023308282,-0.321382198078135
"TEAD4",-0.50771049146664,0.372832535571582,0.450645808309533
"TFAP2A",0.571085626108178,-0.512329703722655,0.30602030712185
"TP63",0.389582282849528,0.391551375324825,-0.341016575949542
"VEZF1",0.473234723012007,-0.57730422130539,-0.346687521288749
"XBP1",0.530923324565106,0.372127908502239,0.330370827574578
"ZNF143",0.49031161650796,-0.602075792146903,0.36422886687089
