"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ASCL2",-0.443214973998059,-0.544739966018941,-0.692482744080765
"ATF3",-0.487076055066182,-0.490084004386245,-0.668182703091014
"BCL6",-0.519205457854218,0.350185312332411,-0.667528493927992
"E2F2",-0.640326101931126,-0.544926057847405,-0.533958419804828
"E2F6",0.48121810815831,0.553766021037955,0.523118742788933
"E2F8",-0.448145877897955,-0.426673702985569,-0.583872365225708
"EBF1",-0.466356868651767,0.375891689637638,-0.3196398821967
"ELK1",0.377994488145504,-0.435218597450711,-0.618613394745747
"ELK4",-0.309975185534501,-0.316506066056174,0.385333080637616
"FOS",0.377960202142587,0.51455677614237,0.7484383801681
"FOXA1",0.37473195544632,0.55949541273443,-0.47283886146633
"FOXK1",0.349914905435948,-0.329460907841284,0.442617534454536
"GATA1",-0.422467844522283,0.645569946882702,0.45680467766794
"GLI2",-0.432995907381592,0.498096813004051,0.587918498155497
"KLF3",0.555879349130675,-0.579544056352174,-0.548345819175584
"LHX2",0.658996610497851,0.333309222950488,0.56470688478184
"MAX",-0.422111799626759,-0.419930526375794,0.494409608834936
"MEF2C",0.356452415561584,0.327751347355196,0.304500607198329
"MITF",0.358592300333875,0.31008048592764,0.629217289800819
"NFE2",0.432389156557915,0.350445862432745,-0.665389163216098
"PAX5",-0.329110436311296,0.369677170348216,-0.610325140822025
"PBX1",0.367229823097958,0.451485144996119,0.586313722869017
"REST",-0.458925141791551,0.425005948988195,-0.687474943821181
"RXRG",-0.4309483666884,0.306608554869679,0.780691325099182
"SP4",-0.421791379110328,-0.527090519422228,-0.463318152947691
"TCF12",0.5444105706574,0.383679023242679,0.665097203432664
"TFAP2A",0.414302716207725,-0.577503346830541,0.357535891768531
"TFDP1",-0.695001362149684,0.353808367833686,-0.580570158860182
