"","P1_2020Oct","P3_2023Jan"
"AHR",0.357472049072418,-0.301893454549574
"CEBPA",-0.377272178998157,-0.343924669411315
"ELF1",-0.33800751456915,-0.465094760834438
"ETV4",0.405881688763737,-0.330022872247742
"GTF2B",0.308475117391777,0.458469685623673
"HSF1",-0.343838485034569,-0.36872344820571
"HSF2",-0.302497323929028,0.553972135929678
"JUNB",0.438413470029437,0.363691287253271
"MXI1",-0.346229602419669,0.349355058928336
"MYB",0.383040225321863,-0.314998794583984
"RARG",-0.349879202639031,0.3924361490967
"RFX5",0.325191964373571,0.355437095187399
"SOX17",-0.562395003918251,-0.474543638594054
"SPDEF",0.395163609958597,-0.363980908027512
"STAT5B",0.348935340513334,-0.441816491104809
"TCF7L2",0.433861957112185,0.375782954577837
"YY1",0.318396157068551,-0.490943414935457
"ZEB1",0.34551646214692,0.467194511447686
