"","P1_2020Oct","P3_2023Jan"
"AHR",0.471910112359551,0.561797752808989
"AR",0.528089887640449,0.0898876404494382
"ARID3A",0.707865168539326,0.123595505617978
"ARNT",0.174157303370787,0.938202247191011
"ARNTL",0.264044943820225,0.792134831460674
"ASCL2",0.247191011235955,0.584269662921348
"ATF1",0.831460674157303,0.48314606741573
"ATF2",0.797752808988764,1
"ATF3",0.252808988764045,0.837078651685393
"BACH1",0.280898876404494,0.943820224719101
"BACH2",0.202247191011236,0.325842696629214
"BARX2",0.286516853932584,0.47752808988764
"BATF",0.314606741573034,0.578651685393258
"BCL11A",0.634831460674157,0.5
"BCL6",0.533707865168539,0.550561797752809
"BHLHE40",0.623595505617977,0.51685393258427
"CEBPA",0.449438202247191,0.0393258426966292
"CEBPD",0.0730337078651685,0.258426966292135
"CLOCK",0.617977528089888,0.455056179775281
"CTCF",0.943820224719101,0.752808988764045
"E2F2",0.179775280898876,0.0674157303370786
"E2F3",0.837078651685393,0.0224719101123595
"E2F4",0.224719101123595,0.050561797752809
"E2F6",0.702247191011236,0.960674157303371
"E2F7",0.544943820224719,0.207865168539326
"E2F8",0.191011235955056,0.859550561797753
"EBF1",0.769662921348315,0.764044943820225
"EGR1",0.780898876404494,0.99438202247191
"EGR2",0.921348314606742,0.966292134831461
"EHF",0.679775280898876,0.460674157303371
"ELF1",0.146067415730337,0.0112359550561798
"ELK1",0.926966292134832,0.679775280898876
"ELK3",0.230337078651685,0.241573033707865
"ELK4",0.51123595505618,0.668539325842697
"EPAS1",0.123595505617978,0.117977528089888
"ESR1",0.129213483146067,0.292134831460674
"ESR2",0.657303370786517,0.719101123595506
"ESRRA",0.320224719101124,0.252808988764045
"ETS2",0.904494382022472,0.825842696629214
"ETV1",0.0786516853932584,0.202247191011236
"ETV5",0.353932584269663,0.0786516853932584
"ETV6",1,0.926966292134832
"ETV7",0.578651685393258,0.398876404494382
"FOS",0.865168539325843,0.49438202247191
"FOSL1",0.719101123595506,0.893258426966292
"FOSL2",0.741573033707865,0.97752808988764
"FOXD2",0.404494382022472,0.337078651685393
"FOXH1",0.98876404494382,0.393258426966292
"FOXK1",0.219101123595506,0.230337078651685
