"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.674157303370786,0.252808988764045,0.893258426966292
"AR",0.157303370786517,0.466292134831461,0.561797752808989
"ARID3A",0.230337078651685,0.567415730337079,0.48314606741573
"ARNT",0.0617977528089888,0.0168539325842697,0.314606741573034
"ARNTL",0.421348314606742,0.808988764044944,0.382022471910112
"ASCL2",0.202247191011236,0.0955056179775281,0.910112359550562
"ATF1",0.320224719101124,0.241573033707865,0.51685393258427
"ATF2",0.932584269662921,0.320224719101124,0.775280898876405
"ATF3",0.213483146067416,0.0561797752808989,0.101123595505618
"BACH1",0.48876404494382,0.528089887640449,0.539325842696629
"BACH2",0.219101123595506,0.376404494382022,0.157303370786517
"BARX2",0.803370786516854,0.539325842696629,0.50561797752809
"BATF",0.393258426966292,0.151685393258427,0.174157303370787
"BCL11A",0.51685393258427,0.449438202247191,0.724719101123595
"BCL6",0.98876404494382,0.370786516853933,0.747191011235955
"BHLHE40",0.353932584269663,0.612359550561798,0.0730337078651685
"CEBPA",0.589887640449438,0.769662921348315,0.0561797752808989
"CEBPD",0.117977528089888,0.51123595505618,0.112359550561798
"CLOCK",0.0898876404494382,0.134831460674157,0.123595505617978
"CTCF",0.410112359550562,0.584269662921348,0.932584269662921
"E2F2",0.651685393258427,0.185393258426966,0.0955056179775281
"E2F3",0.0449438202247191,0.353932584269663,0.320224719101124
"E2F4",0.0842696629213483,0.207865168539326,0.466292134831461
"E2F6",0.0224719101123595,0.955056179775281,0.814606741573034
"E2F7",0.0112359550561798,0.48314606741573,0.0112359550561798
"E2F8",0.842696629213483,0.719101123595506,0.5
"EBF1",0.825842696629214,0.202247191011236,0.949438202247191
"EGR1",0.325842696629214,0.617977528089888,0.662921348314607
"EGR2",0.730337078651685,0.432584269662921,0.196629213483146
"EHF",0.679775280898876,0.258426966292135,0.674157303370786
"ELF1",0.382022471910112,0.0842696629213483,0.49438202247191
"ELK1",0.623595505617977,0.99438202247191,0.612359550561798
"ELK3",0.617977528089888,0.247191011235955,0.303370786516854
"ELK4",0.797752808988764,0.129213483146067,0.410112359550562
"EPAS1",0.49438202247191,0.544943820224719,0.415730337078652
"ESR1",0.443820224719101,0.421348314606742,0.0617977528089888
"ESR2",0.415730337078652,0.735955056179775,0.544943820224719
"ESRRA",0.168539325842697,0.297752808988764,0.134831460674157
"ETS2",0.808988764044944,0.943820224719101,0.97752808988764
"ETV1",0.713483146067416,0.146067415730337,0.202247191011236
"ETV5",0.449438202247191,0.646067415730337,0.140449438202247
"ETV6",0.98314606741573,0.5,0.533707865168539
"ETV7",0.528089887640449,0.382022471910112,0.567415730337079
"FOS",0.960674157303371,0.589887640449438,0.98876404494382
"FOSL1",0.539325842696629,0.00561797752808989,0.342696629213483
"FOSL2",0.00561797752808989,0.573033707865168,0.207865168539326
"FOXD2",0.308988764044944,0.578651685393258,0.213483146067416
"FOXH1",0.910112359550562,0.601123595505618,0.859550561797753
"FOXK1",0.820224719101124,0.893258426966292,0.780898876404494
"FOXM1",0.196629213483146,0.292134831460674,0.623595505617977
"FOXO3",0.146067415730337,0.342696629213483,0.0280898876404494
"FOXP1",0.561797752808989,0.561797752808989,0.713483146067416
"FOXP2",0.634831460674157,0.898876404494382,0.370786516853933
"GATA1",0.949438202247191,0.264044943820225,0.960674157303371
"GATA2",0.792134831460674,0.443820224719101,0.48876404494382
"GATA3",0.050561797752809,0.595505617977528,0.179775280898876
"GATA4",0.831460674157303,0.780898876404494,0.758426966292135
"GLI2",0.595505617977528,0.0674157303370786,0.47752808988764
"GLIS1",0.691011235955056,0.0617977528089888,0.286516853932584
"GMEB1",0.314606741573034,0.393258426966292,0.404494382022472
"GMEB2",0.0955056179775281,0.308988764044944,0.224719101123595
"GRHL2",0.775280898876405,0.926966292134832,0.185393258426966
"GTF2B",0.99438202247191,0.415730337078652,0.98314606741573
"GTF2I",0.258426966292135,0.168539325842697,0.106741573033708
"HEY1",0.460674157303371,0.668539325842697,0.0224719101123595
"HIF1A",0.533707865168539,0.471910112359551,0.449438202247191
"HINFP",0.286516853932584,0.904494382022472,0.842696629213483
"HNF1B",0.544943820224719,0.97752808988764,0.646067415730337
"HNF4A",0.870786516853933,0.314606741573034,0.792134831460674
"HNF4G",0.269662921348315,0.303370786516854,0.117977528089888
"HOXA1",0.747191011235955,0.623595505617977,0.438202247191011
"HOXA4",0.719101123595506,1,0.696629213483146
"HOXB13",0.0674157303370786,0.831460674157303,0.651685393258427
"HOXC6",0.432584269662921,0.747191011235955,0.926966292134832
"HSF1",0.140449438202247,0.741573033707865,0.308988764044944
"HSF2",0.365168539325843,0.269662921348315,0.853932584269663
"IRF2",0.685393258426966,0.196629213483146,0.707865168539326
"IRF3",0.668539325842697,0.98876404494382,0.831460674157303
"IRF4",0.0786516853932584,0.870786516853933,0.129213483146067
"JUN",0.707865168539326,0.679775280898876,0.471910112359551
"JUNB",0.926966292134832,0.960674157303371,0.764044943820225
"JUND",0.97752808988764,0.865168539325843,1
"KLF1",0.247191011235955,0.337078651685393,0.460674157303371
"KLF10",0.337078651685393,0.50561797752809,0.837078651685393
"KLF3",0.938202247191011,0.752808988764045,0.679775280898876
"KLF9",0.898876404494382,0.730337078651685,0.584269662921348
"KMT2A",0.174157303370787,0.157303370786517,0.0674157303370786
"LHX2",0.640449438202247,0.533707865168539,0.702247191011236
"MAF",0.853932584269663,0.348314606741573,0.550561797752809
"MAFF",0.207865168539326,0.51685393258427,0.050561797752809
"MAFK",0.370786516853933,0.775280898876405,0.595505617977528
"MECOM",0.758426966292135,0.786516853932584,0.741573033707865
"MEF2A",0.764044943820225,0.651685393258427,0.848314606741573
"MEF2C",0.331460674157303,0.286516853932584,0.640449438202247
"MEIS1",0.50561797752809,0.837078651685393,0.219101123595506
"MITF",0.134831460674157,0.0786516853932584,0.685393258426966
"MNT",0.0561797752808989,0.123595505617978,0.292134831460674
"MXI1",0.252808988764045,0.662921348314607,0.898876404494382
"MYB",0.191011235955056,0.814606741573034,0.235955056179775
"MYBL2",0.646067415730337,0.49438202247191,0.264044943820225
"MYC",0.966292134831461,0.455056179775281,0.971910112359551
"NANOG",0.241573033707865,0.764044943820225,0.398876404494382
"NFAT5",0.51123595505618,0.634831460674157,0.573033707865168
"NFATC1",0.471910112359551,0.387640449438202,0.348314606741573
"NFE2",0.106741573033708,0.629213483146067,0.820224719101124
"NFIC",0.179775280898876,0.0393258426966292,0.808988764044944
"NFYA",0.814606741573034,0.966292134831461,0.0898876404494382
"NFYB",0.101123595505618,0.460674157303371,0.337078651685393
"NKX2-1",0.235955056179775,0.971910112359551,0.269662921348315
"NR2C2",0.404494382022472,0.112359550561798,0.359550561797753
"NR2F2",0.123595505617978,0.910112359550562,0.966292134831461
"NRF1",0.5,0.224719101123595,0.393258426966292
"PAX5",0.724719101123595,0.331460674157303,0.247191011235955
"PAX6",0.662921348314607,0.707865168539326,0.629213483146067
"PBX1",0.0168539325842697,0.230337078651685,0.0842696629213483
"PBX3",0.971910112359551,0.657303370786517,0.904494382022472
"PGR",0.275280898876405,0.842696629213483,0.365168539325843
"POU2F1",0.786516853932584,0.48876404494382,0.803370786516854
"POU2F2",0.387640449438202,0.235955056179775,0.376404494382022
"PPARG",0.612359550561798,0.106741573033708,0.241573033707865
"PRDM1",0.438202247191011,0.438202247191011,0.0337078651685393
"RARG",0.606741573033708,0.162921348314607,0.162921348314607
"RBPJ",0.893258426966292,0.882022471910112,0.921348314606742
"RELA",0.769662921348315,0.792134831460674,0.601123595505618
"REST",0.921348314606742,0.674157303370786,0.938202247191011
"RFX2",0.0337078651685393,0.0280898876404494,0.0449438202247191
"RFX5",0.584269662921348,0.98314606741573,0.870786516853933
"RUNX1",0.348314606741573,0.213483146067416,0.0786516853932584
"RUNX2",0.848314606741573,0.410112359550562,0.146067415730337
"RUNX3",0.601123595505618,0.325842696629214,0.691011235955056
"RXRA",0.280898876404494,0.853932584269663,0.297752808988764
"RXRG",0.780898876404494,0.365168539325843,0.887640449438202
"SETDB1",0.573033707865168,0.404494382022472,0.51123595505618
"SIX5",0.943820224719101,0.848314606741573,0.865168539325843
"SMAD3",0.578651685393258,0.0898876404494382,0.52247191011236
"SP1",0.151685393258427,0.921348314606742,0.387640449438202
"SP4",0.297752808988764,0.0112359550561798,0.786516853932584
"SPDEF",0.0393258426966292,0.191011235955056,0.151685393258427
"SPI1",0.865168539325843,0.876404494382023,0.955056179775281
"SPIB",0.52247191011236,0.758426966292135,0.252808988764045
"SREBF1",0.342696629213483,0.0730337078651685,0.432584269662921
"SRF",0.264044943820225,0.797752808988764,0.0168539325842697
"STAT1",0.0730337078651685,0.713483146067416,0.325842696629214
"STAT2",0.702247191011236,0.696629213483146,0.825842696629214
"STAT3",0.882022471910112,0.52247191011236,0.668539325842697
"STAT4",0.292134831460674,0.949438202247191,0.258426966292135
"STAT5A",0.48314606741573,0.0337078651685393,0.882022471910112
"STAT5B",0.466292134831461,0.803370786516854,0.421348314606742
"TBP",0.904494382022472,0.724719101123595,0.876404494382023
"TCF12",0.696629213483146,0.606741573033708,0.915730337078652
"TCF21",0.359550561797753,0.280898876404494,0.556179775280899
"TCF3",1,0.820224719101124,0.99438202247191
"TCF4",0.47752808988764,0.702247191011236,0.426966292134831
"TCF7L2",0.455056179775281,0.275280898876405,0.578651685393258
"TEAD4",0.224719101123595,0.47752808988764,0.634831460674157
"TFAP2A",0.398876404494382,0.050561797752809,0.730337078651685
"TFAP2C",0.859550561797753,0.0224719101123595,0.0393258426966292
"TFAP4",0.0280898876404494,0.140449438202247,0.230337078651685
"TFDP1",0.915730337078652,0.938202247191011,0.589887640449438
"THAP1",0.185393258426966,0.825842696629214,0.528089887640449
"TP63",0.303370786516854,0.691011235955056,0.797752808988764
"TP73",0.112359550561798,0.174157303370787,0.657303370786517
"USF1",0.426966292134831,0.859550561797753,0.353932584269663
"USF2",0.837078651685393,0.219101123595506,0.191011235955056
"VDR",0.735955056179775,0.179775280898876,0.443820224719101
"VEZF1",0.752808988764045,0.0449438202247191,0.606741573033708
"XBP1",0.629213483146067,0.550561797752809,0.617977528089888
"YY1",0.876404494382023,0.117977528089888,0.719101123595506
"ZBTB33",0.129213483146067,0.556179775280899,0.735955056179775
"ZBTB7A",0.955056179775281,0.359550561797753,0.943820224719101
"ZBTB7B",0.887640449438202,0.915730337078652,0.455056179775281
"ZEB1",0.162921348314607,0.640449438202247,0.752808988764045
"ZFX",0.556179775280899,0.398876404494382,0.769662921348315
"ZKSCAN1",0.550561797752809,0.685393258426966,0.280898876404494
"ZNF143",0.376404494382022,0.101123595505618,0.331460674157303
"ZNF263",0.741573033707865,0.932584269662921,0.00561797752808989
"ZNF384",0.567415730337079,0.887640449438202,0.275280898876405
"ZNF76",0.657303370786517,0.426966292134831,0.168539325842697
