"","P1_2020Oct","P3_2023Jan"
"AHR",0.606741573033708,0.814606741573034
"AR",0.0617977528089888,0.769662921348315
"ARID3A",0.48876404494382,0.353932584269663
"ARNT",0.415730337078652,0.50561797752809
"ARNTL",0.0955056179775281,0.410112359550562
"ASCL2",0.617977528089888,0.219101123595506
"ATF1",0.426966292134831,0.825842696629214
"ATF2",0.955056179775281,0.910112359550562
"ATF3",0.601123595505618,0.235955056179775
"BACH1",0.314606741573034,0.808988764044944
"BACH2",0.0393258426966292,0.157303370786517
"BARX2",0.764044943820225,0.0337078651685393
"BATF",0.848314606741573,0.713483146067416
"BCL11A",0.0898876404494382,0.0561797752808989
"BCL6",0.865168539325843,0.269662921348315
"BHLHE40",0.696629213483146,0.213483146067416
"CEBPA",0.629213483146067,0.185393258426966
"CEBPD",0.241573033707865,0.629213483146067
"CLOCK",0.662921348314607,0.932584269662921
"CTCF",0.634831460674157,0.365168539325843
"E2F2",0.747191011235955,0.258426966292135
"E2F3",0.758426966292135,0.758426966292135
"E2F4",0.207865168539326,0.921348314606742
"E2F6",0.730337078651685,0.51123595505618
"E2F7",0.269662921348315,0.387640449438202
"E2F8",0.48314606741573,0.960674157303371
"EBF1",0.567415730337079,0.106741573033708
"EGR1",0.0337078651685393,0.685393258426966
"EGR2",0.539325842696629,0.443820224719101
"EHF",0.735955056179775,0.98876404494382
"ELF1",0.780898876404494,0.421348314606742
"ELK1",0.971910112359551,0.646067415730337
"ELK3",0.404494382022472,0.101123595505618
"ELK4",0.264044943820225,0.730337078651685
"EPAS1",0.0449438202247191,0.191011235955056
"ESR1",0.101123595505618,0.179775280898876
"ESR2",0.112359550561798,0.601123595505618
"ESRRA",0.174157303370787,0.286516853932584
"ETS2",0.926966292134832,0.971910112359551
"ETV1",0.657303370786517,0.949438202247191
"ETV5",0.157303370786517,0.342696629213483
"ETV6",1,0.97752808988764
"ETV7",0.320224719101124,0.573033707865168
"FOS",0.949438202247191,0.438202247191011
"FOSL1",0.196629213483146,0.202247191011236
"FOSL2",0.820224719101124,0.382022471910112
"FOXD2",0.0280898876404494,0.337078651685393
"FOXH1",0.471910112359551,0.320224719101124
"FOXK1",0.460674157303371,0.98314606741573
"FOXM1",0.837078651685393,0.657303370786517
"FOXO3",0.5,0.0449438202247191
"FOXP1",0.915730337078652,0.764044943820225
"FOXP2",0.348314606741573,0.0280898876404494
"GATA1",0.550561797752809,0.544943820224719
"GATA2",0.674157303370786,0.460674157303371
"GATA3",0.0730337078651685,0.123595505617978
