"","P1_2020Oct","P3_2023Jan"
"AHR",0.926966292134832,0.382022471910112
"AR",0.241573033707865,0.0617977528089888
"ARID3A",0.747191011235955,0.134831460674157
"ARNT",0.887640449438202,0.803370786516854
"ARNTL",0.224719101123595,0.230337078651685
"ASCL2",0.528089887640449,0.112359550561798
"ATF1",0.219101123595506,0.814606741573034
"ATF2",0.314606741573034,0.679775280898876
"ATF3",0.269662921348315,0.235955056179775
"BACH1",0.724719101123595,0.0842696629213483
"BACH2",0.5,0.533707865168539
"BARX2",0.651685393258427,0.0561797752808989
"BATF",0.938202247191011,0.876404494382023
"BCL11A",0.842696629213483,0.47752808988764
"BCL6",0.48876404494382,0.5
"BHLHE40",0.168539325842697,0.612359550561798
"CEBPA",0.797752808988764,0.629213483146067
"CEBPD",0.870786516853933,0.573033707865168
"CLOCK",0.0112359550561798,0.213483146067416
"CTCF",0.252808988764045,0.48314606741573
"E2F2",0.578651685393258,0.174157303370787
"E2F3",0.539325842696629,0.449438202247191
"E2F4",0.280898876404494,0.758426966292135
"E2F6",0.443820224719101,0.870786516853933
"E2F7",0.50561797752809,0.539325842696629
"E2F8",0.646067415730337,0.921348314606742
"EBF1",0.921348314606742,0.724719101123595
"EGR1",0.325842696629214,0.662921348314607
"EGR2",0.292134831460674,0.191011235955056
"EHF",0.949438202247191,0.97752808988764
"ELF1",0.668539325842697,0.595505617977528
"ELK1",0.859550561797753,0.601123595505618
"ELK3",0.0842696629213483,0.685393258426966
"ELK4",0.174157303370787,0.544943820224719
"EPAS1",0.123595505617978,0.955056179775281
"ESR1",0.49438202247191,0.117977528089888
"ESR2",0.0674157303370786,0.528089887640449
"ESRRA",0.561797752808989,0.455056179775281
"ETS2",0.955056179775281,0.747191011235955
"ETV1",0.752808988764045,0.837078651685393
"ETV5",0.370786516853933,0.674157303370786
"ETV6",0.932584269662921,0.882022471910112
"ETV7",0.342696629213483,0.303370786516854
"FOS",0.865168539325843,0.775280898876405
"FOSL1",0.247191011235955,0.314606741573034
"FOSL2",0.117977528089888,0.471910112359551
"FOXD2",0.629213483146067,0.438202247191011
"FOXH1",0.438202247191011,0.00561797752808989
"FOXK1",0.573033707865168,0.48876404494382
"FOXM1",0.387640449438202,0.275280898876405
"FOXO3",0.730337078651685,0.292134831460674
"FOXP1",0.348314606741573,0.224719101123595
"FOXP2",0.140449438202247,0.634831460674157
"GATA1",0.353932584269663,0.247191011235955
"GATA2",0.466292134831461,0.342696629213483
"GATA3",0.0730337078651685,0.101123595505618
"GATA4",0.48314606741573,0.050561797752809
"GLI2",0.0449438202247191,0.0955056179775281
"GLIS1",0.191011235955056,0.808988764044944
"GMEB1",0.297752808988764,0.129213483146067
"GMEB2",0.393258426966292,0.0112359550561798
"GRHL2",0.0561797752808989,0.202247191011236
"GTF2B",0.820224719101124,0.99438202247191
"GTF2I",0.112359550561798,0.286516853932584
"HEY1",0.0955056179775281,0.825842696629214
"HIF1A",0.606741573033708,0.949438202247191
"HINFP",0.640449438202247,0.348314606741573
"HNF1B",0.735955056179775,0.786516853932584
"HNF4A",0.415730337078652,0.561797752808989
"HNF4G",0.404494382022472,0.331460674157303
"HOXA1",0.612359550561798,0.258426966292135
"HOXA4",0.97752808988764,0.98876404494382
"HOXB13",0.769662921348315,0.657303370786517
"HOXC6",0.51123595505618,0.623595505617977
"HSF1",0.679775280898876,0.971910112359551
"HSF2",0.786516853932584,0.98314606741573
"IRF2",0.893258426966292,0.308988764044944
"IRF3",0.376404494382022,0.376404494382022
"IRF4",0.792134831460674,0.960674157303371
"JUN",0.0280898876404494,0.584269662921348
"JUNB",0.359550561797753,0.426966292134831
"JUND",0.99438202247191,1
"KLF1",0.460674157303371,0.179775280898876
"KLF10",0.471910112359551,0.713483146067416
"KLF3",0.533707865168539,0.910112359550562
"KLF9",0.966292134831461,0.567415730337079
"KMT2A",0.47752808988764,0.0898876404494382
"LHX2",0.432584269662921,0.123595505617978
"MAF",0.601123595505618,0.938202247191011
"MAFF",0.129213483146067,0.51123595505618
"MAFK",0.960674157303371,0.0280898876404494
"MECOM",0.831460674157303,0.932584269662921
"MEF2A",0.775280898876405,0.0224719101123595
"MEF2C",0.0898876404494382,0.0730337078651685
"MEIS1",0.674157303370786,0.651685393258427
"MITF",0.410112359550562,0.241573033707865
"MNT",0.544943820224719,0.0168539325842697
"MXI1",0.589887640449438,0.370786516853933
"MYB",0.0224719101123595,0.393258426966292
"MYBL2",0.365168539325843,0.140449438202247
"MYC",0.719101123595506,0.646067415730337
"NANOG",0.455056179775281,0.606741573033708
"NFAT5",0.898876404494382,0.842696629213483
"NFATC1",0.780898876404494,0.859550561797753
"NFE2",0.207865168539326,0.264044943820225
"NFIC",0.449438202247191,0.898876404494382
"NFYA",0.702247191011236,0.353932584269663
"NFYB",0.837078651685393,0.359550561797753
"NKX2-1",0.52247191011236,0.0449438202247191
"NR2C2",0.101123595505618,0.320224719101124
"NR2F2",0.876404494382023,0.691011235955056
"NRF1",0.662921348314607,0.146067415730337
"PAX5",0.185393258426966,0.865168539325843
"PAX6",0.51685393258427,0.51685393258427
"PBX1",0.213483146067416,0.432584269662921
"PBX3",0.235955056179775,0.207865168539326
"PGR",0.943820224719101,0.926966292134832
"POU2F1",0.691011235955056,0.269662921348315
"POU2F2",0.308988764044944,0.106741573033708
"PPARG",0.685393258426966,0.915730337078652
"PRDM1",0.050561797752809,0.589887640449438
"RARG",0.196629213483146,0.893258426966292
"RBPJ",0.331460674157303,0.280898876404494
"RELA",0.556179775280899,0.769662921348315
"REST",0.904494382022472,0.0674157303370786
"RFX2",0.657303370786517,0.162921348314607
"RFX5",0.595505617977528,0.904494382022472
"RUNX1",0.230337078651685,0.185393258426966
"RUNX2",0.286516853932584,0.0393258426966292
"RUNX3",0.426966292134831,0.578651685393258
"RXRA",0.162921348314607,0.752808988764045
"RXRG",0.882022471910112,0.797752808988764
"SETDB1",0.971910112359551,0.943820224719101
"SIX5",0.617977528089888,0.640449438202247
"SMAD3",0.303370786516854,0.460674157303371
"SP1",0.584269662921348,0.853932584269663
"SP4",0.713483146067416,0.466292134831461
"SPDEF",0.696629213483146,0.443820224719101
"SPI1",0.98314606741573,0.668539325842697
"SPIB",0.910112359550562,0.404494382022472
"SREBF1",0.0617977528089888,0.0786516853932584
"SRF",0.134831460674157,0.252808988764045
"STAT1",0.151685393258427,0.764044943820225
"STAT2",0.179775280898876,0.966292134831461
"STAT3",0.741573033707865,0.702247191011236
"STAT4",0.550561797752809,0.550561797752809
"STAT5A",0.0393258426966292,0.719101123595506
"STAT5B",0.707865168539326,0.196629213483146
"TBP",0.320224719101124,0.831460674157303
"TCF12",0.421348314606742,0.297752808988764
"TCF21",0.106741573033708,0.151685393258427
"TCF3",1,0.398876404494382
"TCF4",0.275280898876405,0.792134831460674
"TCF7L2",0.0337078651685393,0.168539325842697
"TEAD4",0.146067415730337,0.410112359550562
"TFAP2A",0.623595505617977,0.157303370786517
"TFAP2C",0.98876404494382,0.337078651685393
"TFAP4",0.0168539325842697,0.49438202247191
"TFDP1",0.808988764044944,0.556179775280899
"THAP1",0.382022471910112,0.0337078651685393
"TP63",0.567415730337079,0.820224719101124
"TP73",0.764044943820225,0.325842696629214
"USF1",0.853932584269663,0.696629213483146
"USF2",0.157303370786517,0.387640449438202
"VDR",0.337078651685393,0.707865168539326
"VEZF1",0.803370786516854,0.365168539325843
"XBP1",0.848314606741573,0.741573033707865
"YY1",0.825842696629214,0.52247191011236
"ZBTB33",0.758426966292135,0.50561797752809
"ZBTB7A",0.915730337078652,0.735955056179775
"ZBTB7B",0.0786516853932584,0.730337078651685
"ZEB1",0.398876404494382,0.617977528089888
"ZFX",0.202247191011236,0.219101123595506
"ZKSCAN1",0.634831460674157,0.415730337078652
"ZNF143",0.264044943820225,0.848314606741573
"ZNF263",0.00561797752808989,0.421348314606742
"ZNF384",0.814606741573034,0.780898876404494
"ZNF76",0.258426966292135,0.887640449438202
