"","P1_2020Oct","P2_2021Mar"
"AHR",0.696629213483146,0.140449438202247
"AR",0.370786516853933,0.0112359550561798
"ARID3A",0.949438202247191,0.825842696629214
"ARNT",0.0224719101123595,0.589887640449438
"ARNTL",0.269662921348315,0.241573033707865
"ASCL2",0.348314606741573,0.101123595505618
"ATF1",0.410112359550562,0.606741573033708
"ATF2",0.52247191011236,0.769662921348315
"ATF3",0.99438202247191,0.808988764044944
"BACH1",0.544943820224719,0.134831460674157
"BACH2",0.471910112359551,0.0168539325842697
"BARX2",0.382022471910112,0.617977528089888
"BATF",0.623595505617977,0.320224719101124
"BCL11A",0.707865168539326,0.0786516853932584
"BCL6",0.713483146067416,0.539325842696629
"BHLHE40",0.898876404494382,0.48314606741573
"CEBPA",0.612359550561798,0.179775280898876
"CEBPD",0.747191011235955,0.185393258426966
"CLOCK",0.51685393258427,0.00561797752808989
"CTCF",0.932584269662921,0.561797752808989
"E2F2",0.938202247191011,0.910112359550562
"E2F3",0.134831460674157,0.162921348314607
"E2F4",0.0674157303370786,0.51123595505618
"E2F6",0.550561797752809,0.887640449438202
"E2F7",0.825842696629214,0.556179775280899
"E2F8",0.320224719101124,0.674157303370786
"EBF1",0.567415730337079,0.0280898876404494
"EGR1",0.842696629213483,0.926966292134832
"EGR2",0.926966292134832,0.966292134831461
"EHF",0.449438202247191,0.646067415730337
"ELF1",0.870786516853933,0.112359550561798
"ELK1",0.5,0.230337078651685
"ELK3",0.432584269662921,0.528089887640449
"ELK4",0.921348314606742,0.612359550561798
"EPAS1",0.820224719101124,0.623595505617977
"ESR1",0.359550561797753,0.904494382022472
"ESR2",0.235955056179775,0.466292134831461
"ESRRA",0.595505617977528,0.0224719101123595
"ETS2",0.741573033707865,0.837078651685393
"ETV1",0.97752808988764,0.971910112359551
"ETV5",0.202247191011236,0.741573033707865
"ETV6",0.758426966292135,0.657303370786517
"ETV7",0.887640449438202,0.151685393258427
"FOS",0.910112359550562,0.814606741573034
"FOSL1",0.657303370786517,0.426966292134831
"FOSL2",0.48876404494382,0.533707865168539
"FOXD2",0.140449438202247,0.247191011235955
"FOXH1",0.882022471910112,0.0842696629213483
"FOXK1",0.831460674157303,0.842696629213483
"FOXM1",0.342696629213483,0.943820224719101
"FOXO3",0.50561797752809,0.573033707865168
"FOXP1",0.98314606741573,0.286516853932584
"FOXP2",0.157303370786517,0.876404494382023
"GATA1",0.0393258426966292,0.106741573033708
"GATA2",0.303370786516854,0.955056179775281
"GATA3",0.780898876404494,0.438202247191011
"GATA4",0.280898876404494,0.679775280898876
"GLI2",0.859550561797753,0.398876404494382
"GLIS1",0.404494382022472,0.202247191011236
"GMEB1",0.230337078651685,0.297752808988764
"GMEB2",0.162921348314607,0.0674157303370786
"GRHL2",0.0955056179775281,0.421348314606742
"GTF2B",0.308988764044944,0.99438202247191
"GTF2I",0.0168539325842697,0.0337078651685393
"HEY1",0.0337078651685393,0.544943820224719
"HIF1A",0.51123595505618,0.584269662921348
"HINFP",0.556179775280899,0.691011235955056
"HNF1B",0.365168539325843,0.668539325842697
"HNF4A",0.589887640449438,0.792134831460674
"HNF4G",0.634831460674157,0.634831460674157
"HOXA1",0.275280898876405,0.662921348314607
"HOXA4",0.640449438202247,0.49438202247191
"HOXB13",0.106741573033708,0.460674157303371
"HOXC6",0.0898876404494382,0.370786516853933
"HSF1",0.455056179775281,0.5
"HSF2",0.606741573033708,0.898876404494382
"IRF2",0.331460674157303,0.325842696629214
"IRF3",0.955056179775281,0.48876404494382
"IRF4",0.112359550561798,0.752808988764045
"JUN",0.561797752808989,0.747191011235955
"JUNB",0.191011235955056,0.797752808988764
"JUND",0.893258426966292,1
"KLF1",0.0730337078651685,0.196629213483146
"KLF10",0.297752808988764,0.848314606741573
"KLF3",0.0280898876404494,0.601123595505618
"KLF9",0.98876404494382,0.174157303370787
"KMT2A",0.48314606741573,0.640449438202247
"LHX2",0.775280898876405,0.735955056179775
"MAF",0.668539325842697,0.949438202247191
"MAFF",0.264044943820225,0.382022471910112
"MAFK",0.146067415730337,0.707865168539326
"MECOM",0.966292134831461,0.865168539325843
"MEF2A",0.387640449438202,0.191011235955056
"MEF2C",0.101123595505618,0.117977528089888
"MEIS1",0.460674157303371,0.52247191011236
"MITF",0.533707865168539,0.651685393258427
"MNT",0.679775280898876,0.820224719101124
"MXI1",0.443820224719101,0.578651685393258
"MYB",0.252808988764045,0.97752808988764
"MYBL2",0.247191011235955,0.359550561797753
"MYC",0.691011235955056,0.353932584269663
"NANOG",0.539325842696629,0.471910112359551
"NFAT5",0.719101123595506,0.780898876404494
"NFATC1",0.258426966292135,0.415730337078652
"NFE2",0.0842696629213483,0.685393258426966
"NFIC",0.174157303370787,0.235955056179775
"NFYA",0.196629213483146,0.258426966292135
"NFYB",0.117977528089888,0.50561797752809
"NKX2-1",0.803370786516854,0.224719101123595
"NR2C2",0.943820224719101,0.449438202247191
"NR2F2",0.129213483146067,0.629213483146067
"NRF1",0.808988764044944,0.252808988764045
"PAX5",0.353932584269663,0.51685393258427
"PAX6",0.0449438202247191,0.455056179775281
"PBX1",0.814606741573034,0.331460674157303
"PBX3",0.904494382022472,0.595505617977528
"PGR",0.617977528089888,0.129213483146067
"POU2F1",0.584269662921348,0.713483146067416
"POU2F2",0.786516853932584,0.831460674157303
"PPARG",0.123595505617978,0.432584269662921
"PRDM1",0.337078651685393,0.921348314606742
"RARG",0.730337078651685,0.280898876404494
"RBPJ",0.685393258426966,0.443820224719101
"RELA",0.050561797752809,0.882022471910112
"REST",0.415730337078652,0.702247191011236
"RFX2",0.185393258426966,0.157303370786517
"RFX5",0.438202247191011,0.0561797752808989
"RUNX1",0.601123595505618,0.123595505617978
"RUNX2",0.674157303370786,0.365168539325843
"RUNX3",0.0786516853932584,0.764044943820225
"RXRA",0.179775280898876,0.050561797752809
"RXRG",0.724719101123595,0.98314606741573
"SETDB1",0.528089887640449,0.724719101123595
"SIX5",0.0561797752808989,0.786516853932584
"SMAD3",0.792134831460674,0.775280898876405
"SP1",0.219101123595506,0.376404494382022
"SP4",0.651685393258427,0.404494382022472
"SPDEF",0.292134831460674,0.0617977528089888
"SPI1",0.286516853932584,0.719101123595506
"SPIB",0.865168539325843,0.213483146067416
"SREBF1",0.398876404494382,0.308988764044944
"SRF",0.848314606741573,0.696629213483146
"STAT1",0.213483146067416,0.47752808988764
"STAT2",0.49438202247191,0.870786516853933
"STAT3",0.629213483146067,0.342696629213483
"STAT4",0.376404494382022,0.168539325842697
"STAT5A",0.421348314606742,0.0955056179775281
"STAT5B",0.662921348314607,0.146067415730337
"TBP",0.797752808988764,0.938202247191011
"TCF12",0.0112359550561798,0.393258426966292
"TCF21",0.702247191011236,0.0393258426966292
"TCF3",1,0.853932584269663
"TCF4",0.960674157303371,0.730337078651685
"TCF7L2",0.325842696629214,0.269662921348315
"TEAD4",0.735955056179775,0.348314606741573
"TFAP2A",0.314606741573034,0.915730337078652
"TFAP2C",0.752808988764045,0.98876404494382
"TFAP4",0.837078651685393,0.0898876404494382
"TFDP1",0.578651685393258,0.0730337078651685
"THAP1",0.151685393258427,0.0449438202247191
"TP63",0.971910112359551,0.859550561797753
"TP73",0.0617977528089888,0.758426966292135
"USF1",0.646067415730337,0.893258426966292
"USF2",0.876404494382023,0.410112359550562
"VDR",0.47752808988764,0.314606741573034
"VEZF1",0.769662921348315,0.387640449438202
"XBP1",0.764044943820225,0.960674157303371
"YY1",0.573033707865168,0.932584269662921
"ZBTB33",0.853932584269663,0.567415730337079
"ZBTB7A",0.393258426966292,0.337078651685393
"ZBTB7B",0.915730337078652,0.275280898876405
"ZEB1",0.207865168539326,0.219101123595506
"ZFX",0.241573033707865,0.303370786516854
"ZKSCAN1",0.224719101123595,0.264044943820225
"ZNF143",0.466292134831461,0.550561797752809
"ZNF263",0.00561797752808989,0.292134831460674
"ZNF384",0.168539325842697,0.207865168539326
"ZNF76",0.426966292134831,0.803370786516854
