"","P1_2020Oct","P3_2023Jan"
"AHR",0.363928838458789,0.31599349672816
"ARNTL",0.784935380008656,-0.437506464176869
"ATF3",0.549255929745291,0.412795201379714
"BACH1",0.505687396135811,-0.326636539122651
"BATF",0.760753381824065,0.359202680814083
"BCL11A",0.792216296027959,-0.528168328994032
"BCL6",-0.796251502496488,-0.521920686704448
"CEBPA",0.579286053246591,0.43222414387242
"CEBPD",0.793444402344468,0.377548698643261
"E2F1",-0.458960874855307,0.545872432203653
"E2F2",0.459574928013562,0.429524182381
"E2F3",-0.709085194650943,-0.598166423195371
"E2F4",-0.468434837868376,0.616301736225764
"E2F6",0.618000642843203,-0.439099000446763
"E2F7",-0.394426811985426,0.402838174609177
"E2F8",-0.405245843821337,-0.551767266458061
"EGR1",-0.42276097914488,0.324353087117203
"EGR2",-0.592093447690183,-0.440520032810668
"EHF",-0.605719579678115,-0.353753756715245
"ELF1",-0.671949598889842,0.432777856483183
"ELK3",0.453141990165182,0.344272040769877
"ELK4",0.574929199885643,-0.412339491000944
"EPAS1",0.338928102729859,0.300857051996767
"ESR1",0.515570727921049,0.514697922206529
"ESR2",0.775344454489254,-0.318610156322385
"ESRRA",0.323986142545668,0.485674561201661
"ETS2",-0.380069664332906,-0.480426541678411
"ETV5",0.397058468377945,0.520847562264119
"ETV7",-0.786602095723918,-0.641654913642475
"FOXD2",0.774204070052496,-0.505015301685574
"FOXH1",-0.632503993628641,-0.401333840348077
"FOXM1",-0.513231477794365,0.642987743997587
"FOXP1",-0.653878891661212,-0.583005477905981
"GATA4",0.47036471922289,0.377553598754861
"GLI2",0.763355797590001,0.481974976943908
"GLIS1",0.815725759801128,0.345889077597769
"GMEB1",-0.67259289267468,-0.389931280655636
"GMEB2",-0.801397852775192,-0.393341758329009
"GRHL2",0.644843538046897,0.396713035109585
"GTF2B",-0.377291804807469,-0.419268248802883
"HES1",0.639024653356772,0.521562978557672
"HINFP",0.515950856066635,-0.513090685601836
"HNF1B",0.718325232651343,0.31478316916304
"HOXA4",0.501535227160947,-0.351489905156196
"HOXB13",-0.76870683225479,-0.301229460478343
"HOXC6",0.604549954614773,-0.490643274363731
"HSF1",0.510775265161347,-0.440867940734245
"HSF2",-0.751601065703416,-0.556598776495339
"IRF2",-0.707535441442015,0.674451360579092
"IRF3",-0.413257775505228,-0.603419342830221
"JUN",0.361648069585273,0.497160422791297
"JUND",-0.57630350933507,-0.365318020090475
"KLF3",-0.37185304826293,-0.422561123797864
"KLF4",-0.710927354125706,-0.357629744990587
"KLF9",0.574578312366641,-0.501952731935777
"KMT2A",0.439369655044333,-0.422820829712647
"MAF",-0.76598745398252,0.626317564335497
"MAFK",0.781806632964217,0.60088598513319
"MAX",-0.549197448492124,-0.355307092092342
"MEF2C",-0.671101620718919,-0.389294266147679
"MEIS1",0.671920358263259,0.48750230282834
"MYBL2",0.491768857882044,0.341356474368071
"NANOG",0.54957757663771,0.565678683289534
"NFAT5",-0.340097727793201,-0.320183092145881
"NFYA",-0.700751616074633,-0.311911703765631
"NKX2-1",0.676686580396376,0.481602568462333
"NR2F2",0.511681724585437,0.54922410853783
"NR5A2",-0.708091013347103,-0.469435591360343
"NRF1",0.460042778038899,0.600812483459195
"PBX1",0.33489289626133,0.306041370069222
"PBX3",-0.529284581788731,-0.48073524870919
"PGR",0.558671411505193,-0.445929756016708
"POU2F2",-0.489605051514862,-0.454945961360107
"PPARG",0.630603352900711,0.499169468547163
"PRDM1",-0.459633409266729,-0.323779774060041
"RARA",-0.33348934618532,0.550013026505377
"RARG",-0.491505692242792,-0.539252381432494
"RBPJ",-0.613175939456919,-0.319678380651114
"RELA",-0.511769446465188,-0.526570892612538
"REST",-0.763589722602669,0.495626687860599
"RFX2",-0.642007197268293,0.446752974765453
"RFX5",-0.562268008574969,-0.479936530518443
"RUNX1",0.611216817475821,0.462438231996009
"RUNX2",0.457762009165382,0.428544160061065
"RUNX3",-0.645603794338069,-0.526575792724138
"RXRA",0.745138887228453,-0.463065446280767
"RXRG",0.50840677440808,0.395718312454851
"SETDB1",0.414251956809069,0.3979870641255
"SIX5",-0.625340040115673,-0.47819209078896
"SMAD3",0.795549727458483,0.399986309658167
"SPDEF",0.700605412941715,0.480362840227615
"SPI1",-0.319980176703723,-0.318918863353165
"SPIB",-0.573788815448885,0.327307854411806
"STAT2",-0.46904889102663,-0.525732973528994
"STAT4",0.420480210271363,0.306266775202807
"STAT5B",0.519430490630077,0.346638794672519
"STAT6",-0.400011771662883,0.405616537886192
"TAL1",-0.752507525127506,0.3183896513004
"TBP",-0.432878235942786,-0.532642130884534
"TCF12",-0.682417743206751,-0.691332245039968
"TCF21",0.690546637396976,0.486561481401202
"TCF7L2",0.314570660785767,0.413569419012462
"TEAD4",0.395128587023431,0.407503080852066
"TFAP2C",0.685868137143609,0.508763887059324
"TFAP4",0.518640993712321,0.305272052548073
"THAP1",-0.558788374011527,0.727695973221146
"VEZF1",-0.301412378823172,0.370766944189312
"ZBTB33",-0.497412298812668,-0.311465793610061
"ZBTB7A",-0.427848848170417,-0.418400929049741
"ZEB1",-0.753326262671845,-0.320839707100237
