"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BACH2",0.457435082199862,-0.824793968069536,-0.332960855254259
"BCL6",0.373581471219535,0.437239186399104,0.550945979737309
"CEBPA",-0.605455260433005,-0.800222012415978,-0.583252376149167
"ELF1",-0.300827481979896,-0.786299416769281,-0.384651696399463
"ELK3",0.305546237038518,-0.740488284549721,-0.563608032387375
"ESRRA",-0.44648997370856,-0.716035487703976,-0.582060429916882
"ETS2",0.443950518613279,0.617246795387624,0.564887319663079
"FOXH1",-0.555758228995585,-0.45495199576009,-0.424999342597537
"GRHL2",-0.498167493640798,0.341664402012001,-0.361031135199553
"GTF2B",0.431166901398377,0.344113665642232,0.42367674242951
"HNF1B",0.301672463878471,-0.782019839333106,-0.419394943324388
"HOXA4",0.53879598994792,0.669456978515093,0.378668881886748
"HOXC6",0.505766362405044,-0.641829465985276,0.353047041091598
"HSF1",0.424178791014753,-0.690672999295871,-0.43854896636051
"HSF2",-0.459401047775531,0.686167113610942,0.308244886081816
"IRF1",0.606444675746673,0.778810533795952,0.484678858396774
"LHX2",-0.465452131457941,-0.43597683654253,0.335568739311939
"MAFF",0.537809824054518,-0.652987534143293,-0.319573096718909
"MECOM",-0.422447844733429,-0.354626751695679,0.34631036550738
"MYB",-0.309284595582579,-0.536665741494756,-0.555672893768724
"NFATC1",-0.5156720542994,-0.416508574159506,-0.305160451836043
"NFIC",0.331502141920964,0.597937387444225,-0.497894362390211
"PBX1",-0.361853782961705,-0.406200726028508,-0.528656240568889
"PBX3",-0.444739597220339,-0.759397068643799,-0.325997493213073
"POU2F1",0.317429168007426,-0.594578216514505,-0.380646471244469
"RBPJ",-0.383868605264307,-0.412351103938579,-0.496938480452131
"RUNX1",-0.622512661074177,-0.770258066774614,-0.560118357085655
"RUNX2",-0.603878429512872,-0.758581150820357,-0.553194413750143
"RXRA",0.562054677065432,0.708665835450836,0.530569478311611
"SETDB1",0.481370975026702,0.557978772071394,0.344161121269142
"STAT3",-0.377065910779947,0.61693692495741,0.566184849649895
"TCF12",-0.510405407195099,0.832638745394021,0.332320286837388
"TCF7L2",-0.481234035172632,-0.463103191720719,-0.512206777122086
"TFAP4",0.413076583000792,-0.659207667058542,-0.464432642440176
"TFDP1",-0.60680496350801,-0.769752882329904,-0.52843824558973
"XBP1",0.355260443983059,0.781002423030792,0.546471429230304
"YY1",-0.47466423791224,-0.538828434304749,-0.493258777511732
"ZKSCAN1",0.519359151580896,-0.632110580217576,-0.533269529603213
