"","P1_2020Oct","P3_2023Jan"
"AHR",0.318324966278669,0.337297612114153
"ARID3A",-0.353413367425333,0.549097262667443
"ARNTL",-0.48046764325501,-0.759033197437391
"BACH2",-0.303608996085084,-0.488852649970879
"BARX2",-0.582983124290619,-0.452335468841002
"BATF",-0.679391306688418,0.405264997087944
"BCL6",0.352604579817768,0.344181712288876
"E2F3",0.617459785074809,0.416132789749563
"EBF1",-0.536074609011863,0.592172393709959
"ELK1",-0.4551480438941,0.489097262667443
"ESR2",0.567636369720734,-0.359755387303436
"ETV1",0.535562752558637,0.495072801397787
"FOSL1",0.368066375777292,0.382271403610949
"FOXD2",0.437851415500498,0.40658124635993
"FOXH1",-0.304272038688883,-0.449400116482236
"FOXO3",0.40945484762008,0.616656959813628
"FOXP1",-0.424873891711833,-0.544799068142108
"FOXP3",-0.426119137024009,0.491450203843914
"GATA4",-0.438945086008758,-0.580955154338963
"GMEB1",0.612161662697909,-0.360349446709377
"GRHL2",-0.334778994223832,0.31225393127548
"HOXA4",0.334918520774104,0.464601048340128
"HSF2",-0.392432219833558,-0.351357018054747
"IKZF1",-0.45834743821677,0.42632498543972
"MECOM",-0.509100901021544,0.652615026208503
"MITF",-0.305377757450787,0.353954571927781
"NFIC",0.619376234710996,0.589306930693069
"PPARG",0.611622600510646,0.541921956901572
"RXRG",0.494008325738227,0.448875946418171
"SETDB1",-0.627709739699662,-0.66331974373908
"SP2",-0.357239659590869,-0.596971461852068
"SP4",0.533261536112508,0.531799650553291
"STAT1",0.472986066395024,0.394129295282469
"TBP",-0.372785016019219,0.385602795573675
"TCF3",-0.350618561233117,0.517262667443215
"TEAD4",-0.480611056338716,-0.445369831100757
"TFAP2A",-0.451196605351997,-0.473407105416424
"TFAP2C",0.431179403554764,0.363610949330227
"VEZF1",-0.544427546667698,0.300372743156669
