"","P1_2020Oct","P3_2023Jan"
"BACH2",0.339390689369684,-0.438104224680016
"EGR2",0.305714087949777,-0.308681404235769
"ELK4",-0.367858320066368,-0.431159127716365
"ETV1",-0.315526335126081,-0.35297986054446
"ETV5",-0.355663675427505,-0.309244520205795
"GATA2",0.310034707076792,0.417550491774077
"GATA4",0.33741208808722,-0.426091083986133
"HEY1",0.317060760610441,-0.544345437691536
"HINFP",0.425480034965897,-0.581792649698247
"HNF4G",0.317827973352622,0.357766346289679
"HOXB13",-0.367656421976321,-0.482308828327035
"JUN",0.368423634718501,0.47883627984521
"MYB",0.373592225823714,-0.346222468904151
"NFE2",0.374520957037932,0.510464626828321
"PBX3",0.333616403994329,-0.349882722709318
"POU2F2",0.307531170760204,-0.456593199029194
"RARG",-0.365112506041723,-0.482684238973719
"RELA",-0.332001219273949,-0.443078415748576
"RUNX2",0.305027634443616,-0.324636356719832
"SOX17",-0.341046253708073,-0.556170873062076
"ZKSCAN1",-0.349001038455941,-0.507649046978193
