"","P1_2020Oct","P3_2023Jan"
"BACH1",-0.300238591024573,0.700868086352604
"CEBPA",0.393981431976931,0.477854487583055
"CUX1",0.432426459540523,0.543289615365737
"E2F4",-0.374377718175578,-0.53883824612882
"E2F7",-0.562234659771868,-0.754729654119301
"EGR2",0.482676898019041,-0.660805763220349
"ELK4",-0.514954761166789,-0.437347027527109
"ESR1",0.550768607030811,0.354106422796758
"ESR2",0.321590877868937,-0.595370635437667
"ETS2",-0.585077071131733,-0.382595185913028
"ETV6",0.511390113318662,0.75962616027991
"ETV7",-0.346185560998504,-0.467616338338146
"FOXM1",0.631151184835655,0.694191032497228
"FOXO3",-0.604800531209696,0.384375733607795
"FOXP2",0.430055113390972,0.779657321846037
"FOXP3",-0.420369997551469,0.455597641398469
"GATA2",-0.367652508370279,0.449365724466785
"GATA4",0.355443011564399,0.427554015205891
"GRHL2",0.457434013036936,0.651903024746515
"HEY1",-0.41385284112252,-0.502337018386099
"JUND",-0.387149883779275,-0.370576488973352
"KLF10",0.492919134566325,0.545515299984195
"KLF4",-0.547656128520618,-0.327398207375256
"KLF9",0.579801762189174,-0.530380644578677
"LHX2",0.380796396006388,0.357667518186292
"MAX",0.570041284793349,-0.337191219696473
"MNT",-0.518512011561534,0.333184987383248
"NFAT5",-0.342208505124368,-0.63765864318838
"NR3C1",-0.464547126803918,0.393723609005321
"PAX5",0.45241669028105,-0.355441833567834
"PBX1",0.307866290142394,0.52860009688391
"PGR",-0.536697263677018,-0.394168745929013
"PPARG",0.46352304185144,0.449365724466785
"RELA",-0.304533737394106,-0.387491692073637
"RFX5",0.396373583464117,-0.53883824612882
"RUNX1",0.605457517538125,0.71288678329228
"RUNX3",0.373091948309736,-0.594925498513976
"RXRA",-0.733478308096206,-0.537947972281436
"SETDB1",0.350805732975979,-0.39594929362378
"SP4",0.64782966816553,-0.431115110595425
"SPDEF",-0.597896395500736,-0.399510389013313
"STAT5A",0.320717053688268,-0.435566479832342
"TCF3",-0.425085411741229,-0.568662420016165
"TEAD4",-0.551734899378747,-0.60649905852996
"TFAP2C",0.348215237270006,0.593590087742901
"TFDP1",-0.43691024097128,-0.526374412265452
"TP73",-0.364115600972332,0.362564024346901
"USF2",0.39110937070163,0.326953070451564
"VEZF1",0.373625489634864,0.322056564290955
"ZBTB7A",-0.419374577730845,-0.531716055349752
"ZBTB7B",0.336040416026851,-0.560649955389714
"ZKSCAN1",0.59503774210969,-0.432005384442808
