"","P1_2020Oct","P3_2023Jan"
"ARNT",0.448586784141492,0.507007786429366
"ARNTL",-0.335605799852908,-0.446941045606229
"BATF",0.402661862685196,0.331701890989989
"E2F2",0.436396790190734,0.366852057842047
"EGR1",-0.315446492175032,0.375305895439377
"EPAS1",-0.306140560359782,0.443826473859844
"FOXA1",-0.604536040742963,-0.304115684093437
"FOXP1",0.43468105524606,-0.326362625139043
"FOXP3",0.321936325486372,0.521245828698554
"GATA1",0.500522557124519,-0.490545050055617
"HEY1",0.358468857990621,-0.528364849833148
"HNF1B",0.645253191135717,0.34860956618465
"HOXA1",-0.592325241598858,-0.487875417130145
"HSF1",-0.476304387393479,0.372636262513904
"JUNB",-0.630889285649024,0.385539488320356
"MEIS1",-0.360832327954828,0.461624026696329
"MXI1",0.312550871598774,-0.535483870967742
"NANOG",0.546935707118022,0.464293659621802
"NFIC",-0.682576320987148,0.452280311457175
"NFYA",-0.578063512728379,-0.353503893214683
"NR3C1",0.615700569830534,0.503893214682981
"PBX3",-0.441501459962801,-0.34238042269188
"POU2F1",0.468786315193172,-0.47007786429366
"RBPJ",0.528105620126196,-0.333036707452725
"REST",-0.337209649091139,-0.338820912124583
"SOX17",-0.363636405680359,-0.399777530589544
"SP1",0.519755340192014,-0.355728587319244
"STAT3",-0.552726023595276,0.313904338153504
"STAT4",0.604842570591607,0.518576195773081
"TCF4",0.303619895601399,0.389098998887653
"VDR",0.355648136110413,0.45761957730812
"ZBTB33",0.463710772691791,-0.443381535038932
"ZEB1",0.556197254520797,0.335706340378198
