"","P1_2020Oct","P3_2023Jan"
"ARNTL",0.511933297558232,0.418931217436513
"ATF1",-0.340697072051678,-0.326280825914137
"BARX2",-0.386176825451937,0.422271976746214
"BCL11A",0.500741475027149,0.6097999326641
"CUX1",0.354968067468992,0.471492497242476
"E2F7",-0.409032980227276,-0.679287726305882
"E2F8",0.461299859448839,-0.365256351193982
"EGR1",0.405313468835424,-0.405122745623082
"EGR2",0.393166455436029,-0.353897769540999
"ELK1",0.398149537323087,-0.576837774141716
"ELK3",0.312235990414509,-0.526949101783514
"ELK4",-0.485154202551711,-0.38797351449995
"EPAS1",0.415198723412078,-0.536748662425303
"ESR1",0.477948198256695,0.499332158156652
"ETS2",-0.447838880682677,-0.504231938477546
"ETV4",-0.477238046672122,0.342984622462642
"ETV6",0.376717846761334,0.75835236330214
"FOSL2",0.479880772230336,-0.417149479138006
"FOXA1",0.41704715182036,0.480623906022326
"FOXM1",0.532580400073748,0.575946904992462
"FOXP1",-0.453359661979148,0.304009097182796
"FOXP2",0.367968557317033,0.756570625003633
"GATA1",-0.409661297937844,0.408240787645469
"GATA3",-0.489275485901241,0.489309880227548
"GMEB2",-0.390876493978746,0.338307559429061
"HNF4A",0.3766124336355,0.506681828637994
"HOXA1",0.418488260211709,0.471047062667849
"HOXC6",-0.438635575056051,0.510022587947695
"HSF1",0.374465334704019,-0.306458987343244
"IRF2",0.308862770387791,0.675278815134241
"KLF10",0.455964013460851,0.545434636630526
"KLF9",0.461767283441028,-0.656570562999915
"KMT2A",-0.500011905235186,0.644766546772304
"LHX2",0.362564285264906,0.667706427365585
"MNT",-0.416668034437971,0.455456852555911
"MYB",-0.590099442056211,0.495768681559637
"NFIC",0.322874394034959,-0.31536767883578
"NKX2-1",-0.445582669919192,0.506236394063367
"PAX5",0.35852113708321,-0.695100653705134
"PBX3",0.504405968164727,0.538307683436497
"POU2F1",-0.516779989655284,0.537639531574557
"RFX5",0.384508246631155,-0.744321174201396
"RUNX1",0.56642171217294,0.749443671809604
"RUNX3",0.376695654524317,-0.697773261152894
"RXRA",-0.573080307954848,-0.478396733149192
"SETDB1",0.387882853672687,-0.379287540294727
"SP4",0.514858974138423,-0.342539187888015
"SREBF1",-0.49423591321301,0.380623844018607
"TBP",-0.489120602580387,-0.421158390309647
"TFAP2C",0.334584497768063,0.54632550577978
"TFDP1",-0.315746524907776,-0.383296451466368
"XBP1",0.438404868258719,-0.359242984436521
"YY1",0.512010508049523,-0.331403323522345
"ZBTB7B",0.325127368430545,-0.734521613559606
"ZEB1",-0.394754587397622,-0.624499273626785
"ZKSCAN1",0.418045802486165,-0.353006900391745
