"","P1_2020Oct","P3_2023Jan"
"AR",-0.365249441980916,-0.478988109548185
"ATF2",0.700509947383582,0.440702287139083
"BARX2",0.504151042123862,0.528223526137404
"BHLHE40",0.503061291585235,0.352425903714548
"CDX2",0.433308938406699,0.401510291418524
"CEBPA",0.374587189916861,0.47370209856468
"CEBPD",-0.342676632159811,0.55873136095649
"E2F2",0.554346116551922,0.482612802794017
"E2F4",-0.411859153949829,-0.53154616161275
"EHF",0.605651738284614,0.323579386633134
"ELK1",0.652906149999661,0.367528792238848
"ELK4",-0.486049536993689,0.659769685184059
"ESR1",-0.606417059273573,-0.458372666712515
"ESR2",-0.532222516876512,-0.408910706795431
"ETV6",0.364974924669658,0.346686806075314
"FOXH1",0.344793742939053,0.40030206033658
"FOXO3",0.366513885353979,0.601094963267153
"FOXP3",0.320157893930319,0.312629792453017
"GATA2",-0.499005922214389,0.490617333711896
"GLI2",-0.718861013705806,-0.393883332713752
"GRHL2",0.587296512609189,-0.468793659794282
"GTF2B",0.541210879143585,0.444855581483266
"HNF1B",0.38120472085944,-0.318595433420115
"HOXC6",0.316090046499871,-0.446290355893074
"IRF1",0.578191688452491,0.44055125825384
"JUN",-0.435463483364748,-0.337851616288598
"JUND",0.71297968827978,0.55518218215328
"LHX2",0.310666249925941,-0.404530869123384
"MEF2C",0.461713161415418,0.445459697024238
"MYB",-0.605356424207352,-0.345629603878613
"MYC",-0.40202644298298,-0.594147634545975
"NFAT5",0.555806049525426,-0.508816314383678
"NR5A2",0.59320695350762,0.31935057784633
"NRF1",-0.532284907174524,-0.421144046500114
"PBX3",0.313952138954625,-0.330149143141205
"POU2F2",0.543415336340044,-0.544685674628891
"REST",0.392035676594498,-0.429828207401587
"RUNX1",-0.517394422715421,-0.675099117036224
"RUNX3",-0.412416507278745,0.409665851221646
"SP1",0.618287853308847,0.439418541614518
"SPI1",0.602174519008689,-0.348574667140851
"STAT2",0.357571275972115,-0.539324149202764
"STAT4",0.537812687578477,0.317764774551279
"TBX21",-0.570035196825591,-0.594072120103353
"TP73",-0.598011006454621,-0.5018689856625
"YY1",0.689400314984066,0.422729849795166
"ZNF263",0.615875428452344,0.300169909420469
