"","P1_2020Oct","P2_2021Mar"
"ATF3",0.301655784337092,0.369480464632716
"E2F2",0.333191899342394,0.337274657749307
"ETS2",0.30612589071234,-0.334990341959393
"FOXA1",0.41023744554368,-0.53223339603255
"HOXC6",-0.363185793778091,-0.344511370171757
"KLF10",-0.341361378143023,0.346034247365033
"NFYB",-0.41536388004811,-0.414058125834303
"PPARG",-0.423918725823672,0.473115303389561
"RXRG",0.373495865697293,0.302656613391749
"STAT4",-0.414348528389547,-0.350566329892224
"TFAP2C",0.329535429099769,0.300171277812322
"ZBTB7B",0.35871719274259,-0.319201151219503
