"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.611510791366906,0.669064748201439,0.712230215827338
"AR",0.381294964028777,0.438848920863309,0.446043165467626
"ARID3A",0.201438848920863,0.115107913669065,0.0935251798561151
"ARNT",0.244604316546763,0.453237410071942,0.62589928057554
"ASCL2",0.122302158273381,0.280575539568345,0.079136690647482
"ATF1",0.517985611510791,0.107913669064748,0.676258992805755
"ATF2",0.79136690647482,0.762589928057554,0.856115107913669
"ATF3",0.0503597122302158,0.0215827338129496,0.0503597122302158
"BACH2",0.280575539568345,0.41726618705036,0.402877697841727
"BATF",0.474820143884892,0.697841726618705,0.309352517985612
"BCL11A",0.151079136690647,0.0863309352517986,0.647482014388489
"BCL6",0.81294964028777,0.848920863309353,0.618705035971223
"BHLHE40",0.60431654676259,0.381294964028777,0.302158273381295
"CEBPA",0.37410071942446,0.316546762589928,0.0863309352517986
"CEBPD",0.100719424460432,0.0503597122302158,0.115107913669065
"CLOCK",0.158273381294964,0.20863309352518,0.0287769784172662
"E2F2",0.172661870503597,0.0575539568345324,0.172661870503597
"E2F3",0.143884892086331,0.165467625899281,0.0359712230215827
"E2F6",0.971223021582734,0.705035971223022,0.733812949640288
"E2F7",0.0143884892086331,0.079136690647482,0.122302158273381
"E2F8",0.654676258992806,0.942446043165468,0.805755395683453
"EBF1",0.870503597122302,0.956834532374101,0.798561151079137
"EGR1",0.460431654676259,0.309352517985612,0.280575539568345
"EHF",0.719424460431655,0.899280575539568,0.935251798561151
"ELF1",0.39568345323741,0.748201438848921,0.532374100719424
"ELK1",0.834532374100719,0.446043165467626,0.899280575539568
"ELK3",0.0575539568345324,0.143884892086331,0.107913669064748
"ELK4",0.402877697841727,0.834532374100719,0.784172661870504
"ESR1",0.251798561151079,0.352517985611511,0.0431654676258993
"ESR2",0.676258992805755,0.690647482014389,0.81294964028777
"ETS2",0.97841726618705,0.964028776978417,0.942446043165468
"ETV1",0.223021582733813,0.633093525179856,0.287769784172662
"ETV6",1,1,1
"FOS",0.949640287769784,0.97841726618705,0.956834532374101
"FOSL1",0.733812949640288,0.129496402877698,0.237410071942446
"FOSL2",0.0359712230215827,0.0359712230215827,0.0143884892086331
"FOXA1",0.690647482014389,0.820143884892086,0.697841726618705
"FOXD2",0.510791366906475,0.755395683453237,0.410071942446043
"FOXM1",0.467625899280576,0.525179856115108,0.58273381294964
"FOXP1",0.755395683453237,0.366906474820144,0.640287769784173
"FOXP2",0.877697841726619,0.575539568345324,0.870503597122302
"GATA1",0.705035971223022,0.287769784172662,0.597122302158273
"GATA2",0.776978417266187,0.79136690647482,0.79136690647482
"GATA3",0.107913669064748,0.0719424460431655,0.561151079136691
"GATA4",0.438848920863309,0.345323741007194,0.553956834532374
"GMEB2",0.0863309352517986,0.172661870503597,0.0575539568345324
"GRHL2",0.366906474820144,0.39568345323741,0.776978417266187
"GTF2B",0.956834532374101,0.971223021582734,0.97841726618705
"GTF2I",0.0719424460431655,0.266187050359712,0.294964028776978
"HEY1",0.302158273381295,0.215827338129496,0.482014388489209
"HIF1A",0.41726618705036,0.546762589928058,0.568345323741007
"HINFP",0.410071942446043,0.510791366906475,0.316546762589928
"HNF1B",0.0287769784172662,0.00719424460431655,0.0647482014388489
"HNF4A",0.546762589928058,0.158273381294964,0.215827338129496
"HNF4G",0.352517985611511,0.496402877697842,0.37410071942446
"HOXA1",0.863309352517986,0.597122302158273,0.841726618705036
"HOXB13",0.568345323741007,0.489208633093525,0.453237410071942
"HSF1",0.424460431654676,0.474820143884892,0.76978417266187
"IRF2",0.913669064748201,0.856115107913669,0.913669064748201
"IRF4",0.0215827338129496,0.388489208633094,0.0719424460431655
"JUN",0.58273381294964,0.338129496402878,0.748201438848921
"JUNB",0.345323741007194,0.647482014388489,0.489208633093525
"JUND",0.985611510791367,0.992805755395683,0.992805755395683
"KLF1",0.266187050359712,0.589928057553957,0.20863309352518
"KLF10",0.388489208633094,0.294964028776978,0.158273381294964
"KLF3",0.920863309352518,0.618705035971223,0.705035971223022
"KLF9",0.287769784172662,0.223021582733813,0.467625899280576
"MAFF",0.215827338129496,0.23021582733813,0.0215827338129496
"MAFK",0.165467625899281,0.330935251798561,0.820143884892086
"MECOM",0.453237410071942,0.863309352517986,0.964028776978417
"MEF2A",0.892086330935252,0.733812949640288,0.726618705035971
"MITF",0.115107913669065,0.0287769784172662,0.366906474820144
"MNT",0.18705035971223,0.611510791366906,0.654676258992806
"MXI1",0.00719424460431655,0.122302158273381,0.00719424460431655
"MYB",0.640287769784173,0.258992805755396,0.136690647482014
"MYC",0.942446043165468,0.913669064748201,0.971223021582734
"NANOG",0.647482014388489,0.798561151079137,0.690647482014389
"NFAT5",0.697841726618705,0.517985611510791,0.611510791366906
"NFATC1",0.258992805755396,0.776978417266187,0.460431654676259
"NFE2",0.179856115107914,0.179856115107914,0.194244604316547
"NFIC",0.23021582733813,0.539568345323741,0.23021582733813
"NFYA",0.669064748201439,0.726618705035971,0.848920863309353
"NFYB",0.316546762589928,0.151079136690647,0.359712230215827
"NKX2-1",0.136690647482014,0.503597122302158,0.338129496402878
"NR2F2",0.798561151079137,0.884892086330935,0.661870503597122
