"","P1_2020Oct","P2_2021Mar"
"AHR",0.58273381294964,0.0503597122302158
"AR",0.575539568345324,0.0215827338129496
"ARID3A",0.0431654676258993,0.474820143884892
"ARNT",0.079136690647482,0.805755395683453
"ASCL2",0.870503597122302,0.438848920863309
"ATF1",0.107913669064748,0.863309352517986
"ATF2",0.273381294964029,0.748201438848921
"ATF3",0.76978417266187,0.273381294964029
"BACH2",0.158273381294964,0.0647482014388489
"BATF",0.165467625899281,0.280575539568345
"BCL11A",0.143884892086331,0.20863309352518
"BCL6",0.848920863309353,0.381294964028777
"BHLHE40",0.23021582733813,0.60431654676259
"CEBPA",0.115107913669065,0.251798561151079
"CEBPD",0.345323741007194,0.122302158273381
"CLOCK",0.136690647482014,0.0359712230215827
"E2F2",0.474820143884892,0.669064748201439
"E2F3",0.532374100719424,0.496402877697842
"E2F6",0.0719424460431655,0.971223021582734
"E2F7",0.0863309352517986,0.453237410071942
"E2F8",0.410071942446043,0.81294964028777
"EBF1",0.762589928057554,0.467625899280576
"EGR1",0.568345323741007,0.661870503597122
"EHF",0.705035971223022,0.589928057553957
"ELF1",0.0359712230215827,0.165467625899281
"ELK1",0.726618705035971,0.906474820143885
"ELK3",0.172661870503597,0.719424460431655
"ELK4",0.928057553956835,0.561151079136691
"ESR1",0.892086330935252,0.935251798561151
"ESR2",0.151079136690647,0.410071942446043
"ETS2",0.20863309352518,0.841726618705036
"ETV1",0.589928057553957,0.985611510791367
"ETV6",0.920863309352518,0.532374100719424
"FOS",0.446043165467626,0.899280575539568
"FOSL1",0.733812949640288,0.366906474820144
"FOSL2",0.949640287769784,0.597122302158273
"FOXA1",0.258992805755396,0.215827338129496
"FOXD2",0.302158273381295,0.546762589928058
"FOXM1",0.618705035971223,0.97841726618705
"FOXP1",0.798561151079137,0.100719424460432
"FOXP2",0.388489208633094,0.359712230215827
"GATA1",0.0143884892086331,0.0935251798561151
"GATA2",0.424460431654676,0.892086330935252
"GATA3",0.633093525179856,0.0719424460431655
"GATA4",0.100719424460432,0.41726618705036
"GMEB2",0.561151079136691,0.143884892086331
"GRHL2",0.223021582733813,0.503597122302158
"GTF2B",0.81294964028777,1
"GTF2I",0.294964028776978,0.00719424460431655
"HEY1",0.37410071942446,0.323741007194245
"HIF1A",0.453237410071942,0.446043165467626
"HINFP",0.0935251798561151,0.76978417266187
"HNF1B",0.18705035971223,0.482014388489209
"HNF4A",0.0503597122302158,0.79136690647482
"HNF4G",0.755395683453237,0.302158273381295
"HOXA1",0.985611510791367,0.0287769784172662
"HOXB13",0.0647482014388489,0.856115107913669
"HSF1",0.60431654676259,0.525179856115108
"IRF2",0.287769784172662,0.345323741007194
"IRF4",0.690647482014389,0.712230215827338
"JUN",1,0.776978417266187
"JUNB",0.546762589928058,0.568345323741007
"JUND",0.266187050359712,0.992805755395683
"KLF1",0.784172661870504,0.107913669064748
"KLF10",0.359712230215827,0.784172661870504
"KLF3",0.482014388489209,0.690647482014389
"KLF9",0.0287769784172662,0.316546762589928
"MAFF",0.97841726618705,0.287769784172662
"MAFK",0.0575539568345324,0.949640287769784
"MECOM",0.0215827338129496,0.913669064748201
"MEF2A",0.863309352517986,0.23021582733813
"MITF",0.899280575539568,0.676258992805755
"MNT",0.460431654676259,0.431654676258993
"MXI1",0.00719424460431655,0.402877697841727
"MYB",0.597122302158273,0.870503597122302
"MYC",0.884892086330935,0.510791366906475
"NANOG",0.971223021582734,0.834532374100719
"NFAT5",0.640287769784173,0.755395683453237
"NFATC1",0.366906474820144,0.388489208633094
"NFE2",0.496402877697842,0.820143884892086
"NFIC",0.338129496402878,0.575539568345324
"NFYA",0.669064748201439,0.115107913669065
"NFYB",0.956834532374101,0.424460431654676
"NKX2-1",0.402877697841727,0.136690647482014
"NR2F2",0.244604316546763,0.647482014388489
"PAX5",0.661870503597122,0.223021582733813
"PBX1",0.489208633093525,0.158273381294964
"PBX3",0.719424460431655,0.705035971223022
"PGR",0.834532374100719,0.330935251798561
"POU2F1",0.712230215827338,0.539568345323741
"POU2F2",0.517985611510791,0.877697841726619
"PPARG",0.438848920863309,0.762589928057554
"RARG",0.877697841726619,0.460431654676259
"RBPJ",0.906474820143885,0.266187050359712
"RELA",0.647482014388489,0.884892086330935
"RFX2",0.280575539568345,0.201438848920863
"RFX5",0.856115107913669,0.194244604316547
"RUNX1",0.352517985611511,0.129496402877698
"RUNX2",0.41726618705036,0.18705035971223
"RUNX3",0.122302158273381,0.611510791366906
"RXRA",0.553956834532374,0.0431654676258993
"RXRG",0.323741007194245,0.827338129496403
"SETDB1",0.805755395683453,0.58273381294964
"SIX5",0.820143884892086,0.741007194244604
"SMAD3",0.525179856115108,0.920863309352518
"SP1",0.316546762589928,0.733812949640288
"SP4",0.179856115107914,0.553956834532374
"SPI1",0.237410071942446,0.848920863309353
"SPIB",0.39568345323741,0.39568345323741
"SRF",0.251798561151079,0.633093525179856
"STAT1",0.611510791366906,0.338129496402878
"STAT2",0.942446043165468,0.654676258992806
"STAT4",0.683453237410072,0.309352517985612
"STAT5A",0.539568345323741,0.37410071942446
"STAT5B",0.129496402877698,0.151079136690647
"TBP",0.467625899280576,0.942446043165468
"TCF12",0.676258992805755,0.294964028776978
"TCF21",0.841726618705036,0.172661870503597
"TCF3",0.697841726618705,0.964028776978417
"TEAD4",0.776978417266187,0.352517985611511
"TFAP2A",0.964028776978417,0.956834532374101
"TFAP2C",0.194244604316547,0.798561151079137
"TFAP4",0.741007194244604,0.640287769784173
"TFDP1",0.827338129496403,0.0575539568345324
"THAP1",0.215827338129496,0.0143884892086331
"TP63",0.654676258992806,0.697841726618705
"USF1",0.503597122302158,0.62589928057554
"USF2",0.510791366906475,0.258992805755396
"VEZF1",0.62589928057554,0.726618705035971
"XBP1",0.431654676258993,0.237410071942446
"YY1",0.935251798561151,0.928057553956835
"ZBTB7A",0.913669064748201,0.489208633093525
"ZBTB7B",0.748201438848921,0.179856115107914
"ZEB1",0.330935251798561,0.079136690647482
"ZFX",0.309352517985612,0.683453237410072
"ZKSCAN1",0.201438848920863,0.244604316546763
"ZNF143",0.79136690647482,0.517985611510791
"ZNF263",0.992805755395683,0.618705035971223
"ZNF384",0.381294964028777,0.0863309352517986
