"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BHLHE40",-0.300920332160869,0.380501555138579,-0.468453759942607
"E2F1",-0.66131191628636,0.385215502300768,-0.773398632628853
"ETS2",-0.368590194117086,0.317954392040474,-0.699882626533221
"ETV7",-0.411235976196971,-0.417907666705005,-0.740686262445979
"FOXD2",-0.433729459484556,0.546043209719952,0.353152716044043
"GLI2",-0.585524119859838,-0.31394790351149,0.449722466134711
"HOXA1",0.358878200631263,-0.401374639475459,-0.455465909576964
"IRF2",0.374582185107404,0.36342724263354,0.604473109389353
"JUND",-0.489326054298236,-0.444485629035733,-0.663140820429697
"MAFK",-0.423221233679919,-0.312377809653685,0.54115928913685
"NFATC1",-0.656500721562188,0.451310955331221,-0.623923715440273
"SPIB",0.483171117887448,0.473799342454108,0.751412557618208
"STAT3",-0.608944574453306,0.347489262648159,-0.596908751596655
"ZNF263",-0.577138967654985,0.394528541510257,-0.445172419145065
