"","P1_2020Oct","P3_2023Jan"
"BACH2",-0.316291472025098,-0.429357281723655
"BARX2",-0.34477086093719,-0.412371782962381
"BATF",-0.327307062684861,0.54682234845728
"ELK3",-0.360432461848364,-0.415378478454943
"FOXK1",0.357779767489838,0.423518698616006
"HEY1",0.381740818013997,-0.477907256227577
"HOXA1",0.394214904016592,0.508982269913296
"KLF4",0.36697019544276,-0.316314854290135
"NFAT5",-0.331005265047349,-0.437654828974445
"NFE2",0.412874069015075,0.609269549220426
"PPARG",0.318656515447314,0.323283861672119
"PRDM1",-0.308456779134649,-0.338492147012402
"RFX5",-0.444965637479203,-0.526760231052454
"RUNX2",0.458188627949267,0.393550801487625
"RXRA",-0.483596885755157,0.37197950940727
"SPDEF",-0.405063898464257,0.402203791422613
"STAT1",0.504777180813826,0.510765310263536
"TAL1",0.52585432634865,-0.600843809526154
"TFAP2C",-0.360032708788026,0.335532066953833
"TP53",-0.514160673535908,0.566511542390159
"USF2",0.414788757723745,0.329081656275024
"ZBTB7A",-0.499203603334775,0.357837552119581
"ZNF263",0.461315420873997,-0.647610743679836
