"","P1_2020Oct","P3_2023Jan"
"FOS",0.349206132471696,0.386455815385234
"IRF4",0.319404864945829,0.367271718873861
"KLF9",0.307259586619843,0.413757605225994
"MITF",-0.307941761336455,-0.513786468111083
"RELA",0.395785862679499,0.380249538719192
"RUNX2",0.408897782189777,0.454078007340875
"SPDEF",-0.408049052550912,0.495762042075337
"STAT4",-0.426763910777548,0.316881414337458
"TAL1",0.378434575592058,-0.463874017740515
"TP53",-0.465444345735778,0.521636096908415
"USF2",0.371175427181518,0.597405119642579
