"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"E2F6",0.416871853888881,0.57143559019264,0.368949504711737
"E2F7",0.328303942778632,-0.510081859580809,0.331064746131912
"HINFP",0.342825930506152,-0.45558294240734,0.439110014031336
"HNF4G",0.436350620273466,-0.349961983709248,0.316094647651669
"HOXA1",-0.305364789431967,0.505204686835137,0.489171485240346
"PPARG",0.404060397561818,0.596754869596441,0.392020417440474
"SPDEF",0.339196389503163,0.691577993762455,0.327718842433399
"TFAP2A",0.403681117553374,-0.473394884416202,0.457711004959119
"ZEB1",-0.468149735196325,0.341756796974927,-0.468501958807136
"ZNF384",0.405571710666911,-0.335883363339871,0.301227115248942
