"","P1_2020Oct","P3_2023Jan"
"ATF3",-0.304845497150978,-0.364033619055385
"CDX2",0.371072643272282,-0.516066304748356
"CUX1",-0.652156617816784,-0.382157677050605
"E2F1",-0.434185922314988,-0.32984341403253
"E2F2",-0.399076548542886,-0.452957035075758
"E2F3",0.534519317243475,0.440212428557206
"E2F8",-0.504571857353343,0.560690479413878
"EHF",-0.340769909957075,0.336161561740027
"ELK1",-0.345304870735971,0.36089259705223
"ESR1",0.362964049805868,0.370568388969996
"FOSL2",-0.380205260140382,-0.439995806350092
"FOXD2",-0.548291387074317,0.554155709499267
"FOXP2",-0.3495472534001,0.527583385426594
"GATA4",-0.421270688391679,-0.507654142372089
"GTF2I",0.663776148660408,0.559354642470007
"HES1",0.419703305633996,0.521012511810797
"HIF1A",-0.422587289908133,-0.370062937153397
"HOXB13",0.475711116175205,-0.579392196628069
"IRF1",-0.343737487978288,0.320059311011206
"KLF3",-0.318136902936131,0.441367746995149
"MAF",-0.430946664615776,-0.36684970774787
"MYC",0.396819517371823,-0.314282718821494
"NFAT5",0.423088852390591,0.49815886896025
"NFYA",0.30691444239112,-0.318326333354293
"NKX2-1",0.395523814292138,-0.472994589233819
"PAX6",-0.399494517278268,-0.451440679625958
"PGR",-0.356631823464828,0.466748648928694
"RFX2",0.384614830298663,0.319589962895792
"RUNX1",0.38446854124128,-0.457975449540569
"RUNX3",0.312180848456935,-0.311791563439681
"SIX5",-0.559764628860558,-0.633042296590015
"STAT5B",0.540893340458053,-0.483464662577672
"TCF21",0.336339441362024,0.308650541436526
"TCF4",-0.481353694102864,-0.331756910195372
"TP63",0.371302526076742,0.31666556309975
"TP73",0.53886619209145,-0.415300874739075
"USF1",0.590945096520067,-0.325077725476018
"XBP1",-0.453307991958721,-0.596794180599575
"YY1",0.349818933078099,-0.308397815528226
"ZBTB33",0.356736315648673,0.327388362351903
"ZBTB7B",-0.316256043626911,-0.361217530362901
"ZNF384",0.615270876919308,0.307784052608069
