"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ELF1",-0.533552567348308,-0.365278184106019,-0.344811812344565
"ELK3",-0.486857614031505,0.474792542764747,-0.327115311884988
"GTF2I",-0.507202431684709,-0.394536090527019,-0.32703532770212
"HNF4G",0.498781361839415,0.432946145904837,0.335793595726182
"HOXB13",-0.504257215719733,-0.335571033463388,-0.318636988500965
"JUN",-0.344827875473389,-0.444258558396094,0.360568696369589
"MYB",-0.334945277015659,-0.432143935690118,-0.330114718742543
"NFAT5",-0.390163959025486,-0.406295168583014,0.329174904593843
"SIX5",0.414263934520095,0.379229586427927,-0.306719345253612
"SMAD3",0.532092486040969,0.397993788150171,-0.316117486740618
"SP4",0.480649823028769,-0.369666746329802,-0.321056510032726
"TEAD4",-0.317240443673216,0.400931181120937,-0.325355659861889
"TFAP4",-0.441217945758579,-0.416336708055651,-0.311398419951398
"ZNF143",-0.403980183015182,-0.372131149536517,-0.33047464756545
