"","P1_2020Oct","P3_2023Jan"
"ATF3",0.34429947876846,0.319077435962238
"BCL11A",0.469619550318148,-0.336318361778105
"BHLHE40",0.374020002422397,0.303348958209967
"E2F7",-0.361438020104014,0.325613372237065
"EHF",-0.368434542981993,-0.301183407573454
"ETV7",-0.51644921815269,-0.327616874866765
"FOSL1",0.45383327811027,0.315080251794162
"FOXP1",-0.512127836375114,-0.342873940235577
"GRHL2",0.341036394569066,0.321051475317971
"HES1",0.330835581801592,0.323398716143942
"HOXA4",0.438311580296938,-0.31722124970237
"IRF2",-0.352618873619166,0.307876481309435
"MAFK",0.457243348084411,0.332787679447827
"MAX",-0.349796746744015,-0.31062638687961
"MEF2C",-0.388160033953103,-0.320275609103529
"POU2F2",-0.436988708324211,-0.344587720671275
"REST",-0.472147705643804,0.311097799263068
"RXRG",0.332040865154521,0.303997150237223
"SMAD3",0.486963871738349,0.305352460839666
"SPDEF",0.434401758688655,0.306727413624754
"STAT3",0.402623434188254,0.302730229456678
"STAT6",-0.419027046650071,0.331564953578231
"TCF3",-0.502191598002186,-0.316995364601962
"TEAD4",0.448336010134715,0.333303286742234
"THAP1",-0.311551048154725,0.340526699409606
"ZBTB7A",-0.309610835928058,-0.305052917554344
"ZEB1",-0.326866965883411,-0.305877889225396
