"","P1_2020Oct","P3_2023Jan"
"ARNT",-0.467335157947956,-0.687417183692756
"ARNTL",-0.406453211961468,-0.355189621479453
"ATF1",-0.376243313229334,-0.367794871670206
"BARX2",-0.363396439422423,-0.549831227359308
"BATF",-0.529414647750222,0.807400059584219
"E2F3",0.544297073963244,0.473850227595823
"E2F8",-0.51309019376812,0.617529109853268
"EGR1",-0.511027044604164,-0.459608158872907
"ELK1",-0.354355974764462,0.768972686428768
"ELK3",0.387402509253671,-0.481440172604396
"ELK4",0.501598281902723,0.483123590952422
"ETV1",0.494021611470734,0.677147749272101
"ETV5",-0.414172141736714,-0.376380887742835
"FOXH1",-0.308304759655878,-0.675994403829509
"FOXO3",0.676036999553797,0.6796524893747
"FOXP1",-0.458675994972331,-0.614214697950061
"FOXP3",-0.592578573529775,0.514473617073786
"GATA4",-0.50042794615806,-0.709808395214592
"GMEB1",0.537004922217768,-0.607527624373821
"GRHL2",-0.337586863163,0.571960314916919
"HNF4G",0.541306518261006,-0.393494670118265
"HOXC6",0.553768592205008,0.419462417507534
"IRF2",0.460102475272203,-0.628287842340477
"JUN",0.308759523130224,0.46412834101155
"KLF4",-0.391637639866042,-0.344162940051035
"KLF9",0.390744437760019,0.404276702513406
"KMT2A",0.702760767002675,0.35472362332083
"LHX2",0.466291922764072,0.537266752007434
"MAFF",0.631641589915908,-0.649595608143515
"MAX",0.580251762567886,-0.744432058400283
"MEF2A",0.67230949381108,-0.437543146062107
"MEF2C",-0.41536657605865,-0.333450807379689
"NANOG",-0.664814836279166,0.366222127884853
"NFAT5",-0.335484845326023,-0.601201699370513
"NFIC",0.424029237214847,0.58397724243241
"NFYA",-0.489439383608285,-0.713786854493836
"NFYB",0.45490379025564,-0.493259050902472
"NR2C2",-0.466937142736221,-0.515085239656978
"NR3C1",-0.326355760093574,0.756571310432413
"PPARG",0.594726067714186,0.711386963976928
"RARA",-0.41497750064171,-0.476477292215061
"RELA",-0.423069958364688,0.698857438486951
"RUNX3",0.36540478375742,-0.325656988176719
"RXRG",0.7044336746895,0.625433603618911
"SNAI2",-0.322838533871901,-0.493037701777126
"SOX17",0.718874552777003,0.334755602223833
"SP1",-0.435268502705607,-0.574948528109089
"SP4",0.741501950776195,0.760753643906054
"SPDEF",0.381628956563128,0.57240301316761
"STAT5B",-0.518068104721923,-0.387122145299096
"TAL1",-0.4248482001554,-0.682926126439027
"TCF3",-0.462045131549794,0.689420975774835
"TFAP2A",-0.355326914216528,-0.720817601712061
"TFAP2C",0.552784437404115,0.739894401330691
"TFAP4",0.335879362357186,-0.305694792056705
"ZEB1",0.363784348779173,-0.624839455966666
"ZNF263",0.667438860394815,-0.624862755874598
