"","P1_2020Oct","P3_2023Jan"
"CDX2",0.434410889133094,0.493104420971094
"EBF1",0.509508194449761,-0.53307064687172
"EGR1",0.314101940819658,0.31438221359858
"ELK1",-0.364879334693817,-0.49226006408587
"ELK4",-0.503176144538528,-0.30331175665897
"GLI2",0.370566080155498,0.338024206384866
"HEY1",0.410413629915362,-0.406604748951431
"HINFP",0.485712592872514,-0.339900555018698
"HOXA1",0.309100831335627,0.462050851081172
"JUNB",-0.31204503288671,-0.440566659223794
"MAFF",0.325636757855408,0.33943146786024
"MEIS1",0.372461661976058,-0.403977860864066
"NFYA",0.31244834816768,-0.32019889436346
"PRDM1",-0.456472235002169,-0.428464210535576
"RELA",-0.40867937420719,-0.469837697911575
"TCF21",-0.529552963913984,-0.539168779931674
"TCF3",-0.375607521167627,0.429683837147567
"ZBTB7A",0.451390462461943,0.350126655073083
"ZEB1",-0.550283369355857,-0.365325079007124
"ZKSCAN1",-0.405815835712301,-0.384088565345445
