"","P1_2020Oct","P3_2023Jan"
"ARID3A",-0.369311023339121,0.741935483870968
"BACH2",0.35351971939221,0.523025583982202
"BATF",0.446581645319864,-0.305005561735261
"E2F1",0.552967064905867,-0.348164627363737
"ELK3",-0.373489700794195,-0.425583982202447
"ESR1",-0.316914097976814,0.571968854282536
"FOXP2",-0.47710120358779,0.640044493882091
"HES1",-0.322590477797384,-0.50166852057842
"HNF4G",0.321366051781999,0.302335928809789
"HOXA4",0.364814217070382,-0.323692992213571
"MAF",0.301101523789455,-0.355728587319244
"MECOM",-0.315915783865327,-0.441156840934372
"NFYB",0.321752152885793,0.312124582869855
"PRDM1",-0.351391770554294,0.30055617352614
"RXRG",0.38723073852048,-0.375305895439377
"SP1",0.39318964262179,-0.590656284760845
"STAT5A",-0.340967040751855,-0.621802002224694
"STAT5B",-0.363720186876877,0.509677419354839
"THAP1",-0.37349108798379,0.30055617352614
"ZNF384",0.510171803519947,-0.311234705228031
"ZNF76",-0.566154151587426,-0.345050055617353
