"","P1_2020Oct","P3_2023Jan"
"ARNT",0.417248480067233,0.337306803503596
"ASCL2",0.508349718309586,-0.320597417596879
"CEBPA",-0.353728694265841,0.436226368071361
"EGR2",-0.390915958925087,-0.35045152041688
"FOXP1",0.333937225383244,-0.33530167719479
"GATA1",0.385034745600529,-0.376740954243448
"GLIS1",-0.383806159720872,-0.300991738132997
"HEY1",0.370932595748152,-0.405926681627181
"HOXA1",-0.352390058164371,-0.398797343640315
"HSF1",-0.409166262306406,0.361368319209269
"MEIS1",-0.362344054487806,0.375181411558821
"POU2F1",0.336338909635761,-0.412833227801957
"SMAD3",0.367939507152361,0.301660113569266
"SOX17",-0.364250975138052,-0.445360832367033
"TCF4",0.400342823933954,0.305447574374789
"VDR",0.338438186976235,0.405481098003002
