"","P1_2020Oct","P2_2021Mar"
"CEBPD",-0.34304280695724,-0.379633899262006
"CUX1",-0.31288557058181,-0.473062104888103
"EGR1",0.358821936697791,0.408602957275074
"ESRRA",-0.437074711504254,-0.414640071448959
"GATA3",-0.342379028211424,-0.345209307186944
"GMEB2",-0.464649054174177,-0.364669189402284
"GTF2I",-0.443963158062894,-0.443047764801064
"HEY1",-0.342290033280596,-0.51292012690802
"HNF4A",-0.353326599266076,0.550860262094534
"HOXB13",-0.322351734407028,-0.632305764503245
"KMT2A",-0.38929906704438,-0.560403911619493
"MAFK",-0.456104296478425,-0.378299879187017
"MECOM",0.341518544786283,0.303913590921362
"NFYB",-0.411277579684521,0.378497292738382
"SP2",-0.335759408062964,-0.34073247096391
