"","P1_2020Oct","P2_2021Mar"
"ASCL2",-0.347019398324776,0.355044832663452
"BARX2",-0.31839388687914,0.51881456300994
"BHLHE40",0.301417014893604,-0.462087797644807
"E2F2",0.361996865734506,0.33581926406466
"FOS",0.344097075823541,0.498970000968853
"GATA2",-0.35757950652862,0.371892485860162
"GTF2I",-0.314118051792325,-0.307419109494432
"MEF2C",-0.341111519141445,-0.648533525382284
"MYB",-0.314979241112627,0.407622503370829
"NR5A2",-0.319151944261609,-0.305629544294927
"RXRA",-0.304340842970574,-0.47049017397536
"RXRG",0.322258699790356,0.316569180874093
"TP63",0.307550730437154,0.375440973019455
